10月21日20時37分	赤 予選
10月21日20時37分	赤 予選
シーツ補正前 lidar(3326,1834) RS_Y:3081,X:1414	now(1644.143433,5727.001465,0.599656)	8
シーツ補正X lidar(3326,1834),296	G(1978,6340),N(1682,5722)	RS(1342,3073)
シーツ補正X lidar(3219,2347),189	G(1905,6340),N(1716,5717)	RS(1342,3073)
シーツ補正X lidar(3219,2347),189	G(1936,6340),N(1747,5712)	RS(1275,3076)
シーツ補正X lidar(3148,2351),118	G(1893,6340),N(1775,5707)	RS(1208,3074)
シーツ補正X lidar(3148,2351),118	G(1920,6340),N(1802,5702)	RS(1208,3074)
シーツ補正X lidar(3148,2351),118	G(1943,6340),N(1825,5698)	RS(1147,3071)
シーツ補正X lidar(3086,2358),56	G(1893,6340),N(1837,5696)	RS(1107,3075)
シーツ補正X 無視lidar(3086,2358),56	G(1950,6340),N(1857,5692)	RS(1107,3075)
シーツ補正X 無視lidar(3040,2359),10	G(1950,6340),N(1873,5690)	RS(1057,3075)
シーツ補正X 無視lidar(3040,2359),10	G(1950,6340),N(1885,5689)	RS(1057,3075)
シーツ補正X 無視lidar(3040,2359),10	G(1950,6340),N(1893,5689)	RS(1011,3078)
シーツ補正X 無視lidar(3009,2363),-21	G(1950,6340),N(1898,5692)	RS(974,3082)
シーツ補正X 無視lidar(3009,2363),-21	G(1950,6340),N(1900,5693)	RS(974,3082)
シーツ補正X 無視lidar(3001,2354),-29	G(1950,6340),N(1904,5698)	RS(947,3086)
シーツ補正X 無視lidar(3001,2354),-29	G(1950,6340),N(1907,5703)	RS(928,3092)
シーツ補正X 無視lidar(3001,2354),-29	G(1950,6340),N(1911,5706)	RS(928,3092)
シーツ補正X 無視lidar(2987,2354),-43	G(1950,6340),N(1916,5713)	RS(919,3102)
シーツ補正X 無視lidar(2987,2354),-43	G(1950,6340),N(1921,5722)	RS(909,3095)
シーツ補正X 無視lidar(2982,2339),-48	G(1950,6340),N(1926,5732)	RS(909,3095)
シーツ補正X 無視lidar(2982,2339),-48	G(1950,6340),N(1930,5743)	RS(905,3096)
シーツ補正X 無視lidar(2982,2339),-48	G(1950,6340),N(1932,5748)	RS(905,3096)
シーツ補正X 無視lidar(2960,2329),-70	G(1950,6340),N(1935,5759)	RS(902,3093)
シーツ補正X 無視lidar(2960,2329),-70	G(1950,6340),N(1939,5777)	RS(899,3078)
シーツ補正X 無視lidar(2964,2301),-66	G(1950,6340),N(1942,5792)	RS(899,3078)
シーツ補正X 無視lidar(2964,2301),-66	G(1950,6340),N(1946,5809)	RS(894,3062)
シーツ補正X 無視lidar(2964,2301),-66	G(1950,6340),N(1951,5828)	RS(891,3047)
シーツ補正X 無視lidar(2957,2264),-73	G(1950,6340),N(1954,5849)	RS(891,3047)
シーツ補正X lidar(2957,2264),-73	G(1883,6340),N(1956,5860)	RS(887,3025)
シーツ補正X lidar(2945,2225),-85	G(1873,6340),N(1958,5882)	RS(887,3025)
シーツ補正X lidar(2945,2225),-85	G(1876,6340),N(1961,5904)	RS(884,3000)
シーツ補正X lidar(2945,2225),-85	G(1878,6340),N(1963,5930)	RS(887,2980)
シーツ補正X lidar(2951,2179),-79	G(1887,6340),N(1966,5957)	RS(887,2980)
シーツ補正X lidar(2951,2179),-79	G(1890,6340),N(1969,5984)	RS(887,2951)
シーツ補正X lidar(2946,2112),-84	G(1886,6340),N(1970,6010)	RS(888,2914)
シーツ補正X lidar(2946,2112),-84	G(1886,6340),N(1970,6027)	RS(888,2914)
シーツ補正X lidar(2946,2112),-84	G(1885,6340),N(1969,6059)	RS(885,2861)
シーツ補正X lidar(2939,2029),-91	G(1876,6340),N(1967,6090)	RS(885,2861)
シーツ補正X lidar(2939,2029),-91	G(1874,6340),N(1965,6124)	RS(886,2814)
シーツ補正X lidar(2948,1956),-82	G(1880,6340),N(1962,6158)	RS(881,2766)
シーツ補正X lidar(2948,1956),-82	G(1876,6340),N(1958,6190)	RS(881,2766)
シーツ補正X lidar(2948,1956),-82	G(1871,6340),N(1953,6222)	RS(883,2715)
シーツ補正X lidar(2960,1881),-70	G(1881,6340),N(1951,6237)	RS(891,2666)
シーツ補正X lidar(2960,1881),-70	G(1875,6340),N(1945,6268)	RS(891,2666)
シーツ補正X 無視lidar(2990,1795),-40	G(1950,6340),N(1939,6296)	RS(905,2625)
展開２ lidar(2990,1795) now(1933.968140,6322.441895,2.808971)	RS(905,2625)	8
シーツ補正X 無視lidar(2990,1795),-40	G(1950,6340),N(1933,6322)	RS(905,2625)
シーツ補正X 無視lidar(2990,1795),-40	G(1950,6340),N(1927,6342)	RS(922,2582)
シーツ補正X 無視lidar(3011,1739),-19	G(1950,6340),N(1922,6358)	RS(931,2523)
シーツ補正X 無視lidar(3011,1739),-19	G(1950,6340),N(1917,6369)	RS(931,2523)
シーツ補正X 無視lidar(3009,1701),-21	G(1950,6340),N(1916,6374)	RS(944,2471)
シーツ補正X 無視lidar(3009,1701),-21	G(1950,6340),N(1913,6380)	RS(951,2426)
シーツ補正X 無視lidar(3009,1701),-21	G(1950,6340),N(1913,6383)	RS(951,2426)
シーツ補正X 無視lidar(3019,1684),-11	G(1950,6340),N(1912,6382)	RS(953,2392)
シーツ補正X 無視lidar(3019,1684),-11	G(1950,6340),N(1911,6380)	RS(953,2392)
シーツ補正X 無視lidar(3029,1684),-1	G(1950,6340),N(1910,6377)	RS(949,2359)
シーツ補正X 無視lidar(3029,1684),-1	G(1950,6340),N(1910,6374)	RS(948,2349)
シーツ補正X lidar(3023,1681),-7	G(1904,6340),N(1911,6371)	RS(948,2349)
シーツ補正X lidar(3023,1681),-7	G(1905,6340),N(1912,6370)	RS(945,2341)
シーツ補正X lidar(3023,1681),-7	G(1908,6340),N(1915,6368)	RS(945,2341)
シーツ補正X lidar(3017,1689),-13	G(1905,6340),N(1918,6366)	RS(942,2345)
シーツ補正X lidar(3017,1689),-13	G(1908,6340),N(1921,6363)	RS(941,2354)
シーツ補正X lidar(3020,1693),-10	G(1915,6340),N(1925,6360)	RS(941,2354)
シーツ補正X lidar(3020,1693),-10	G(1918,6340),N(1928,6355)	RS(937,2356)
シーツ補正X lidar(3020,1693),-10	G(1922,6340),N(1932,6350)	RS(937,2356)
シーツ補正X lidar(3001,1696),-29	G(1906,6340),N(1935,6347)	RS(929,2358)
シーツ補正X lidar(3001,1696),-29	G(1910,6340),N(1939,6344)	RS(926,2363)
シーツ補正X lidar(2983,1711),-47	G(1896,6340),N(1943,6342)	RS(926,2363)
シーツ補正X lidar(2983,1711),-47	G(1897,6340),N(1944,6339)	RS(917,2362)
シーツ補正X lidar(2983,1711),-47	G(1899,6340),N(1946,6339)	RS(907,2361)
シーツ補正X lidar(2984,1724),-46	G(1904,6340),N(1950,6337)	RS(907,2361)
シーツ補正X lidar(2984,1724),-46	G(1904,6340),N(1950,6334)	RS(901,2365)
シーツ補正X lidar(2979,1726),-51	G(1899,6340),N(1950,6333)	RS(896,2373)
シーツ補正X lidar(2979,1726),-51	G(1899,6340),N(1950,6332)	RS(896,2373)
シーツ補正X lidar(2979,1726),-51	G(1898,6340),N(1949,6332)	RS(894,2381)
シーツ補正X lidar(2980,1718),-50	G(1899,6340),N(1949,6332)	RS(894,2381)
シーツ補正X lidar(2980,1718),-50	G(1899,6340),N(1949,6333)	RS(894,2390)
シーツ補正X lidar(2971,1722),-59	G(1890,6340),N(1949,6333)	RS(894,2396)
シーツ補正X lidar(2971,1722),-59	G(1889,6340),N(1948,6332)	RS(894,2396)
シーツ補正X lidar(2971,1722),-59	G(1889,6340),N(1948,6333)	RS(896,2405)
シーツ補正X lidar(2969,1724),-61	G(1887,6340),N(1948,6333)	RS(897,2408)
シーツ補正X lidar(2969,1724),-61	G(1885,6340),N(1946,6333)	RS(897,2408)
シーツ補正X lidar(2978,1729),-52	G(1893,6340),N(1945,6333)	RS(897,2407)
シーツ補正X lidar(2978,1729),-52	G(1891,6340),N(1943,6333)	RS(897,2407)
シーツ補正X lidar(2978,1729),-52	G(1888,6340),N(1940,6333)	RS(897,2408)
シーツ補正X lidar(2970,1733),-60	G(1876,6340),N(1936,6334)	RS(895,2404)
シーツ補正X lidar(2970,1733),-60	G(1875,6340),N(1935,6333)	RS(895,2404)
シーツ補正X lidar(2988,1729),-42	G(1891,6340),N(1933,6332)	RS(895,2401)
シーツ補正X lidar(2988,1729),-42	G(1890,6340),N(1932,6332)	RS(895,2401)
シーツ補正X lidar(2988,1729),-42	G(1890,6340),N(1932,6333)	RS(896,2399)
シーツ補正X lidar(2990,1721),-40	G(1892,6340),N(1932,6334)	RS(898,2404)
シーツ補正X lidar(2990,1721),-40	G(1891,6340),N(1931,6334)	RS(900,2406)
シーツ補正X lidar(3003,1716),-27	G(1903,6340),N(1930,6333)	RS(900,2406)
シーツ補正X lidar(3003,1716),-27	G(1902,6340),N(1929,6333)	RS(903,2411)
シーツ補正X lidar(3003,1716),-27	G(1901,6340),N(1928,6332)	RS(903,2411)
シーツ補正X lidar(2991,1724),-39	G(1887,6340),N(1926,6332)	RS(904,2408)
