10月21日20時42分	赤 予選
シーツ補正前 lidar(3238,2404) RS_Y:3122,X:1251	now(1639.081909,5755.141602,2.839070)	8
シーツ補正X 無視lidar(3143,2394),113	G(1950,6340),N(1675,5753)	RS(1251,3122)
シーツ補正X lidar(3143,2394),113	G(1820,6340),N(1707,5750)	RS(1185,3124)
シーツ補正X lidar(3143,2394),113	G(1851,6340),N(1738,5746)	RS(1185,3124)
シーツ補正X lidar(3066,2396),36	G(1803,6340),N(1767,5738)	RS(1117,3122)
シーツ補正X lidar(3066,2396),36	G(1815,6340),N(1779,5735)	RS(1056,3126)
シーツ補正X 無視lidar(3001,2405),-29	G(1950,6340),N(1805,5725)	RS(1056,3126)
シーツ補正X 無視lidar(3001,2405),-29	G(1950,6340),N(1829,5717)	RS(999,3141)
シーツ補正X 無視lidar(3001,2405),-29	G(1950,6340),N(1851,5708)	RS(940,3150)
シーツ補正X 無視lidar(2956,2430),-74	G(1950,6340),N(1870,5700)	RS(940,3150)
シーツ補正X 無視lidar(2956,2430),-74	G(1950,6340),N(1885,5695)	RS(886,3157)
シーツ補正X 無視lidar(2947,2466),-83	G(1950,6340),N(1897,5691)	RS(834,3164)
シーツ補正X 無視lidar(2947,2466),-83	G(1950,6340),N(1903,5690)	RS(834,3164)
シーツ補正X 無視lidar(2947,2466),-83	G(1950,6340),N(1911,5688)	RS(801,3172)
シーツ補正X 無視lidar(2944,2476),-86	G(1950,6340),N(1918,5688)	RS(801,3172)
シーツ補正X 無視lidar(2944,2476),-86	G(1950,6340),N(1924,5691)	RS(763,3169)
シーツ補正X 無視lidar(2921,2482),-109	G(1950,6340),N(1929,5693)	RS(736,3174)
シーツ補正X 無視lidar(2921,2482),-109	G(1950,6340),N(1936,5696)	RS(736,3174)
シーツ補正X 無視lidar(2921,2482),-109	G(1950,6340),N(1943,5700)	RS(720,3177)
シーツ補正X 無視lidar(2902,2469),-128	G(1950,6340),N(1947,5703)	RS(713,3179)
シーツ補正X 無視lidar(2902,2469),-128	G(1950,6340),N(1954,5709)	RS(713,3179)
シーツ補正X 無視lidar(2853,2439),-177	G(1950,6340),N(1960,5718)	RS(708,3183)
シーツ補正X 無視lidar(2853,2439),-177	G(1950,6340),N(1965,5728)	RS(705,3181)
シーツ補正X 無視lidar(2853,2439),-177	G(1950,6340),N(1970,5738)	RS(705,3181)
シーツ補正X 無視lidar(2833,2414),-197	G(1950,6340),N(1974,5749)	RS(706,3176)
シーツ補正X 無視lidar(2833,2414),-197	G(1950,6340),N(1976,5762)	RS(706,3176)
シーツ補正X 無視lidar(2816,2393),-214	G(1950,6340),N(1977,5768)	RS(706,3167)
シーツ補正X 無視lidar(2816,2393),-214	G(1950,6340),N(1978,5784)	RS(706,3154)
シーツ補正X 無視lidar(2816,2393),-214	G(1950,6340),N(1978,5801)	RS(706,3154)
シーツ補正X 無視lidar(2818,2355),-212	G(1950,6340),N(1978,5817)	RS(705,3135)
シーツ補正X 無視lidar(2818,2355),-212	G(1950,6340),N(1976,5837)	RS(705,3120)
シーツ補正X 無視lidar(2820,2319),-210	G(1950,6340),N(1974,5856)	RS(705,3120)
シーツ補正X 無視lidar(2820,2319),-210	G(1950,6340),N(1972,5875)	RS(704,3102)
シーツ補正X 無視lidar(2820,2319),-210	G(1950,6340),N(1970,5897)	RS(704,3082)
シーツ補正X 無視lidar(2831,2272),-199	G(1950,6340),N(1968,5908)	RS(704,3082)
シーツ補正X 無視lidar(2831,2272),-199	G(1950,6340),N(1962,5929)	RS(704,3051)
シーツ補正X 無視lidar(2835,2272),-195	G(1950,6340),N(1959,5955)	RS(704,3051)
シーツリミット左 lidar(4864,8984) RS_Y:-50000,X:-50000	now(0,0,0.008138)
10月21日20時44分	赤 予選
10月21日20時44分	赤 予選
シーツ補正前 lidar(3178,2374) RS_Y:3110,X:1275	now(1656.190674,5748.146973,1.758490)	8
シーツ補正X lidar(3178,2374),148	G(1843,6340),N(1695,5748)	RS(1202,3105)
シーツ補正X lidar(3091,2367),61	G(1791,6340),N(1730,5743)	RS(1131,3100)
シーツ補正X lidar(3091,2367),61	G(1822,6340),N(1761,5739)	RS(1131,3100)
シーツ補正X lidar(3091,2367),61	G(1852,6340),N(1791,5733)	RS(1076,3101)
シーツ補正X 無視lidar(3019,2358),-11	G(1950,6340),N(1819,5726)	RS(-50000,-50000)
シーツ補正X 無視lidar(3019,2358),-11	G(1950,6340),N(1831,5723)	RS(-50000,-50000)
シーツ補正X 無視lidar(2971,2370),-59	G(1950,6340),N(1853,5719)	RS(959,3107)
シーツ補正X 無視lidar(2971,2370),-59	G(1950,6340),N(1871,5715)	RS(959,3107)
シーツ補正X 無視lidar(2971,2370),-59	G(1950,6340),N(1887,5711)	RS(901,3112)
シーツ補正X 無視lidar(2959,2384),-71	G(1950,6340),N(1898,5709)	RS(850,3120)
シーツ補正X 無視lidar(2959,2384),-71	G(1950,6340),N(1908,5708)	RS(850,3120)
シーツ補正X 無視lidar(2947,2397),-83	G(1950,6340),N(1912,5707)	RS(801,3126)
シーツ補正X 無視lidar(2947,2397),-83	G(1950,6340),N(1917,5708)	RS(801,3126)
シーツ補正X 無視lidar(2947,2397),-83	G(1950,6340),N(1922,5710)	RS(762,3135)
シーツ補正X 無視lidar(2925,2408),-105	G(1950,6340),N(1927,5711)	RS(739,3146)
シーツ補正X 無視lidar(2925,2408),-105	G(1950,6340),N(1931,5714)	RS(739,3146)
シーツ補正X 無視lidar(2901,2405),-129	G(1950,6340),N(1935,5717)	RS(725,3143)
シーツ補正X 無視lidar(2901,2405),-129	G(1950,6340),N(1936,5722)	RS(718,3145)
シーツ補正X 無視lidar(2885,2387),-145	G(1950,6340),N(1937,5728)	RS(718,3145)
シーツ補正X 無視lidar(2885,2387),-145	G(1950,6340),N(1936,5732)	RS(718,3141)
