10月21日21時0分	赤 予選
10月21日21時0分	赤 予選
バスタオル1補正前 lidar(3156,2428) RS_Y:0,X:0	now(1643.130005,5746.468262,2.571659)	8
バスタオル1移動始め lidar(3156,2428) goal(1950,5300,0.000000) now(1643,5746,2.571659)
バスタオル1補正X 無し lidar(3156,2428),0	G(1950,5300),N(1643,5746)	RS(0,0)	8
バスタオル1補正X 無し lidar(3062,2427),0	G(1950,5300),N(1661,5744)	RS(0,0)	8
バスタオル1補正X 無し lidar(3062,2427),1262	G(1950,5300),N(1696,5739)	RS(0,0)	8
バスタオル1補正X 無し lidar(3062,2427),1262	G(1950,5300),N(1728,5733)	RS(0,0)	8
バスタオル1補正X フェンス lidar(2979,2436),119	G(1876,5300),N(1757,5726)	RS(0,0)	8
バスタオル1補正X フェンス lidar(2979,2436),119	G(1904,5300),N(1785,5718)	RS(0,0)	8
バスタオル1補正X フェンス lidar(2979,2436),119	G(1933,5300),N(1814,5709)	RS(0,0)	8
バスタオル1補正X フェンス lidar(2915,2446),55	G(1882,5300),N(1827,5703)	RS(0,0)	8
バスタオル1補正X 無し lidar(2915,2446),55	G(1882,5300),N(1852,5692)	RS(0,0)	9
バスタオル1補正X 無し lidar(2873,2468),55	G(1882,5300),N(1872,5682)	RS(0,0)	9
バスタオル1補正X 無し lidar(2873,2468),55	G(1882,5300),N(1891,5671)	RS(0,0)	9
バスタオル1補正X 無し lidar(2873,2468),55	G(1882,5300),N(1905,5659)	RS(0,0)	9
バスタオル1補正X 無し lidar(2831,2498),55	G(1882,5300),N(1916,5647)	RS(0,0)	9
バスタオル1補正X 無し lidar(2831,2498),55	G(1882,5300),N(1927,5633)	RS(0,0)	9
バスタオル1補正X 無し lidar(2820,2533),55	G(1882,5300),N(1931,5627)	RS(0,0)	9
バスタオル1補正X 無し lidar(2820,2533),55	G(1882,5300),N(1941,5613)	RS(0,0)	9
バスタオル1補正X 無し lidar(2820,2533),55	G(1882,5300),N(1948,5599)	RS(0,0)	9
バスタオル1補正X 無し lidar(2800,2569),55	G(1882,5300),N(1953,5584)	RS(0,0)	9
バスタオル1補正X 無し lidar(2800,2569),55	G(1882,5300),N(1957,5570)	RS(0,0)	9
バスタオル1補正X 無し lidar(2280,2596),55	G(1882,5300),N(1958,5553)	RS(0,0)	9
バスタオル1補正X 無し lidar(2280,2596),55	G(1882,5300),N(1960,5533)	RS(0,0)	9
バスタオル1補正X 無し lidar(1805,2636),55	G(1882,5300),N(1960,5523)	RS(0,0)	9
バスタオル1補正X 無し lidar(1805,2636),55	G(1882,5300),N(1959,5501)	RS(0,0)	9
バスタオル1補正X 無し lidar(1805,2636),55	G(1882,5300),N(1956,5480)	RS(0,0)	9
バスタオル1補正X 無し lidar(1787,2666),55	G(1882,5300),N(1952,5457)	RS(0,0)	9
バスタオル1補正X 無し lidar(1787,2666),55	G(1882,5300),N(1947,5434)	RS(0,0)	9
バスタオル1補正X 無し lidar(1787,2666),55	G(1882,5300),N(1941,5410)	RS(0,0)	9
バスタオル1補正X 無し lidar(1770,2718),55	G(1882,5300),N(1935,5387)	RS(0,0)	9
バスタオル1補正X 無し lidar(1770,2718),55	G(1882,5300),N(1932,5376)	RS(0,0)	9
バスタオル1補正X 無し lidar(1759,2770),55	G(1882,5300),N(1926,5355)	RS(0,0)	9
バスタオル1補正X 無し lidar(1759,2770),55	G(1882,5300),N(1920,5337)	RS(0,0)	9
バスタオル1補正X 無し lidar(1773,2807),55	G(1882,5300),N(1914,5320)	RS(0,0)	9
バスタオル1補正X 無し lidar(1773,2807),55	G(1882,5300),N(1909,5304)	RS(0,0)	9
バスタオル1補正X 台座 lidar(1773,2807),-27	G(1877,5300),N(1904,5292)	RS(0,0)	10
バスタオル1補正Y lidar(1773,2807),-123	G(1877,5169),N(1904,5292)	RS(0,0)
バスタオル1補正X 台座 lidar(1780,2849),-20	G(1879,5169),N(1899,5284)	RS(0,0)	10
バスタオル1補正Y lidar(1780,2849),-81	G(1879,5203),N(1899,5284)	RS(0,0)
バスタオル1補正X 台座 lidar(1780,2849),-20	G(1878,5203),N(1898,5281)	RS(0,0)	10
バスタオル1補正Y lidar(1780,2849),-81	G(1878,5200),N(1898,5281)	RS(0,0)
バスタオル1補正X 台座 lidar(1770,2888),-30	G(1864,5200),N(1894,5278)	RS(0,0)	10
バスタオル1補正Y lidar(1770,2888),-42	G(1864,5236),N(1894,5278)	RS(0,0)
バスタオル1補正X 台座 lidar(1770,2888),-30	G(1863,5236),N(1893,5277)	RS(0,0)	10
バスタオル1補正Y lidar(1770,2888),-42	G(1863,5235),N(1893,5277)	RS(0,0)
バスタオル1補正X 台座 lidar(1770,2888),-30	G(1862,5235),N(1892,5276)	RS(0,0)	10
バスタオル1補正Y lidar(1770,2888),-42	G(1862,5234),N(1892,5276)	RS(0,0)
バスタオル1補正X 台座 lidar(1768,2904),-32	G(1861,5234),N(1893,5277)	RS(0,0)	10
バスタオル1補正Y lidar(1768,2904),-26	G(1861,5251),N(1893,5277)	RS(0,0)
