10月28日19時4分	青 予選
10月28日19時4分	青 予選
シーツ補正前 lidar(1576,2470) RS_Y:3064,X:-1393	now(-1655.883301,5716.122559,0.183151)	8
シーツ補正X 無視lidar(1657,2470),-2103	G(-3690,6440),N(-1718,5717)	RS(-1318,3070)
シーツ補正X 無視lidar(1657,2470),-2103	G(-3690,6440),N(-1735,5718)	RS(-1272,3100)
シーツ補正X 無視lidar(1708,2478),-2052	G(-3690,6440),N(-1748,5719)	RS(-1211,3108)
シーツ補正X 無視lidar(1708,2478),-2052	G(-3690,6440),N(-1767,5719)	RS(-1211,3108)
シーツ補正X 無視lidar(1754,2481),-2006	G(-3690,6440),N(-1773,5720)	RS(-1153,3126)
シーツ補正X 無視lidar(1754,2481),-2006	G(-3690,6440),N(-1778,5722)	RS(-1115,3143)
シーツ補正X 無視lidar(1772,2492),-1988	G(-3690,6440),N(-1781,5724)	RS(-1115,3143)
シーツ補正X 無視lidar(1772,2492),-1988	G(-3690,6440),N(-1782,5727)	RS(-1082,3130)
シーツ補正X 無視lidar(1780,2492),-1980	G(-3690,6440),N(-1779,5729)	RS(-1056,3128)
シーツ補正X 無視lidar(1780,2492),-1980	G(-3690,6440),N(-1776,5731)	RS(-1056,3128)
シーツ補正X 無視lidar(1780,2492),-1980	G(-3690,6440),N(-1772,5734)	RS(-1041,3122)
シーツ補正X 無視lidar(1768,2479),-1992	G(-3690,6440),N(-1764,5742)	RS(-1033,3118)
シーツ補正X 無視lidar(1768,2479),-1992	G(-3690,6440),N(-1762,5747)	RS(-1033,3118)
シーツ補正X 無視lidar(1749,2462),-2011	G(-3690,6440),N(-1760,5753)	RS(-1037,3125)
シーツ補正X 無視lidar(1749,2462),-2011	G(-3690,6440),N(-1761,5767)	RS(-1037,3125)
シーツ補正X 無視lidar(1742,2445),-2018	G(-3690,6440),N(-1763,5774)	RS(-1044,3113)
シーツ補正X 無視lidar(1742,2445),-2018	G(-3690,6440),N(-1766,5782)	RS(-1051,3102)
シーツ補正X 無視lidar(1738,2418),-2022	G(-3690,6440),N(-1769,5791)	RS(-1051,3102)
シーツ補正X 無視lidar(1738,2418),-2022	G(-3690,6440),N(-1779,5811)	RS(-1060,3099)
シーツ補正X 無視lidar(1738,2418),-2022	G(-3690,6440),N(-1785,5821)	RS(-1056,3070)
シーツ補正X 無視lidar(1755,2377),-2005	G(-3690,6440),N(-1792,5831)	RS(-1056,3070)
シーツ補正X 無視lidar(1755,2377),-2005	G(-3690,6440),N(-1801,5843)	RS(-1054,3054)
シーツ補正X 無視lidar(1777,2377),-1983	G(-3690,6440),N(-1824,5868)	RS(-1048,3042)
シーツ補正X 無視lidar(1777,2377),-1983	G(-3690,6440),N(-1837,5883)	RS(-1048,3042)
シーツ補正X 無視lidar(1809,2347),-1951	G(-3690,6440),N(-1851,5898)	RS(-1048,3042)
シーツ補正X 無視lidar(1809,2347),-1951	G(-3690,6440),N(-1866,5914)	RS(-1010,2975)
シーツ補正X 無視lidar(1847,2308),-1913	G(-3690,6440),N(-1899,5948)	RS(-1010,2975)
シーツ補正X 無視lidar(1847,2308),-1913	G(-3690,6440),N(-1917,5967)	RS(-993,2962)
シーツ補正X 無視lidar(1847,2308),-1913	G(-3690,6440),N(-1936,5987)	RS(-993,2962)
シーツ補正X 無視lidar(1903,2258),-1857	G(-3690,6440),N(-1974,6027)	RS(-972,2943)
シーツ補正X 無視lidar(1903,2258),-1857	G(-3690,6440),N(-1995,6049)	RS(-944,2911)
シーツ補正X 無視lidar(1962,2196),-1798	G(-3690,6440),N(-2016,6071)	RS(-944,2911)
シーツ補正X 無視lidar(1962,2196),-1798	G(-3690,6440),N(-2037,6094)	RS(-909,2866)
シーツ補正X 無視lidar(2022,2140),-1738	G(-3690,6440),N(-2082,6140)	RS(-909,2866)
シーツ補正X 無視lidar(2022,2140),-1738	G(-3690,6440),N(-2105,6164)	RS(-874,2832)
シーツ補正X 無視lidar(2090,2063),-1670	G(-3690,6440),N(-2130,6190)	RS(-839,2807)
シーツ補正X 無視lidar(2090,2063),-1670	G(-3690,6440),N(-2155,6216)	RS(-839,2807)
シーツ補正X 無視lidar(2090,2063),-1670	G(-3690,6440),N(-2206,6268)	RS(-794,2764)
シーツ補正X 無視lidar(2160,1983),-1600	G(-3690,6440),N(-2231,6293)	RS(-753,2739)
シーツ補正X 無視lidar(2160,1983),-1600	G(-3690,6440),N(-2256,6317)	RS(-753,2739)
シーツ補正X 無視lidar(2236,1908),-1524	G(-3690,6440),N(-2281,6342)	RS(-704,2692)
シーツ補正X 無視lidar(2236,1908),-1524	G(-3690,6440),N(-2332,6385)	RS(-704,2692)
シーツ補正X 無視lidar(2311,1840),-1449	G(-3690,6440),N(-2359,6404)	RS(-667,2658)
シーツ補正X 無視lidar(2311,1840),-1449	G(-3690,6440),N(-2385,6422)	RS(-606,2612)
シーツ補正X 無視lidar(2393,1840),-1367	G(-3690,6440),N(-2441,6452)	RS(-606,2612)
シーツ補正X 無視lidar(2393,1840),-1367	G(-3690,6440),N(-2469,6463)	RS(-549,2550)
シーツ補正X 無視lidar(2393,1840),-1367	G(-3690,6440),N(-2498,6471)	RS(-505,2494)
シーツ補正X 無視lidar(2466,1795),-1294	G(-3690,6440),N(-2527,6477)	RS(-505,2494)
シーツ補正X 無視lidar(2466,1795),-1294	G(-3690,6440),N(-2586,6484)	RS(-451,2444)
シーツ補正X 無視lidar(2544,1750),-1216	G(-3690,6440),N(-2616,6485)	RS(-387,2393)
シーツ補正X 無視lidar(2544,1750),-1216	G(-3690,6440),N(-2647,6484)	RS(-387,2393)
シーツ補正X 無視lidar(2636,1736),-1124	G(-3690,6440),N(-2678,6483)	RS(-327,2354)
シーツ補正X 無視lidar(2636,1736),-1124	G(-3690,6440),N(-2743,6474)	RS(-327,2354)
シーツ補正X 無視lidar(2728,1735),-1032	G(-3690,6440),N(-2776,6469)	RS(-275,2361)
シーツ補正X 無視lidar(2728,1735),-1032	G(-3690,6440),N(-2809,6463)	RS(-208,2343)
シーツ補正X 無視lidar(2728,1735),-1032	G(-3690,6440),N(-2843,6457)	RS(-208,2343)
シーツ補正X 無視lidar(2819,1758),-941	G(-3690,6440),N(-2911,6446)	RS(-142,2348)
シーツ補正X 無視lidar(2819,1758),-941	G(-3690,6440),N(-2945,6440)	RS(-93,2354)
シーツ補正X 無視lidar(2912,1775),-848	G(-3690,6440),N(-2980,6436)	RS(-93,2354)
シーツ補正X 無視lidar(2912,1775),-848	G(-3690,6440),N(-3016,6432)	RS(-26,2356)
シーツ補正X 無視lidar(3019,1783),-741	G(-3690,6440),N(-3090,6428)	RS(39,2368)
シーツ補正X 無視lidar(3019,1783),-741	G(-3690,6440),N(-3127,6427)	RS(39,2368)
シーツ補正X 無視lidar(3112,1797),-648	G(-3690,6440),N(-3165,6427)	RS(109,2380)
シーツ補正X 無視lidar(3112,1797),-648	G(-3690,6440),N(-3202,6428)	RS(109,2380)
シーツ補正X 無視lidar(3112,1797),-648	G(-3690,6440),N(-3275,6430)	RS(177,2405)
シーツ補正X 無視lidar(3221,1802),-539	G(-3690,6440),N(-3311,6432)	RS(253,2409)
シーツ補正X 無視lidar(3221,1802),-539	G(-3690,6440),N(-3348,6435)	RS(253,2409)
シーツ補正X 無視lidar(3336,1802),-424	G(-3690,6440),N(-3421,6445)	RS(328,2414)
シーツ補正X 無視lidar(3336,1802),-424	G(-3690,6440),N(-3456,6449)	RS(409,2435)
シーツ補正X 無視lidar(3444,1790),-316	G(-3690,6440),N(-3489,6452)	RS(409,2435)
シーツ補正X 無視lidar(3444,1790),-316	G(-3690,6440),N(-3519,6455)	RS(490,2440)
シーツ補正X lidar(3573,1778),-187	G(-3755,6440),N(-3568,6460)	RS(490,2440)
シーツ補正X lidar(3573,1778),-187	G(-3775,6440),N(-3588,6462)	RS(562,2427)
シーツ補正X lidar(3573,1778),-187	G(-3791,6440),N(-3604,6463)	RS(628,2427)
シーツ補正X lidar(3715,1770),-45	G(-3663,6440),N(-3618,6463)	RS(628,2427)
シーツ補正X lidar(3715,1770),-45	G(-3684,6440),N(-3639,6461)	RS(681,2419)
シーツ補正X lidar(3838,1770),78	G(-3570,6440),N(-3648,6460)	RS(716,2397)
シーツ補正X lidar(3838,1770),78	G(-3579,6440),N(-3657,6458)	RS(716,2397)
シーツ補正X lidar(3848,1771),88	G(-3577,6440),N(-3665,6456)	RS(754,2400)
シーツ補正X lidar(3848,1771),88	G(-3582,6440),N(-3670,6451)	RS(784,2403)
シーツ補正X lidar(3756,1780),-4	G(-3672,6440),N(-3668,6449)	RS(784,2403)
展開２ lidar(3756,1780) now(-3664.983887,6447.452148,-0.740118)	RS(801,2404)	8
シーツ補正X lidar(3756,1780),-4	G(-3668,6440),N(-3664,6447)	RS(801,2404)
シーツ補正X lidar(3756,1780),-4	G(-3659,6440),N(-3655,6441)	RS(801,2404)
シーツ補正X lidar(3693,1784),-67	G(-3716,6440),N(-3649,6438)	RS(804,2404)
シーツ補正X lidar(3693,1784),-67	G(-3710,6440),N(-3643,6436)	RS(806,2405)
シーツ補正X lidar(3654,1796),-106	G(-3743,6440),N(-3637,6434)	RS(806,2405)
シーツ補正X lidar(3654,1796),-106	G(-3733,6440),N(-3627,6435)	RS(809,2410)
シーツ補正X lidar(3635,1799),-125	G(-3747,6440),N(-3622,6435)	RS(798,2398)
シーツ補正X lidar(3635,1799),-125	G(-3744,6440),N(-3619,6436)	RS(798,2398)
シーツ補正X lidar(3620,1799),-140	G(-3757,6440),N(-3617,6436)	RS(790,2400)
シーツ補正X lidar(3620,1799),-140	G(-3757,6440),N(-3617,6436)	RS(784,2404)
シーツ補正X lidar(3620,1799),-140	G(-3758,6440),N(-3618,6436)	RS(784,2404)
シーツ補正X lidar(3608,1800),-152	G(-3771,6440),N(-3619,6437)	RS(786,2424)
シーツ補正X lidar(3608,1800),-152	G(-3773,6440),N(-3621,6438)	RS(784,2431)
シーツ補正X lidar(3615,1804),-145	G(-3771,6440),N(-3626,6439)	RS(784,2431)
シーツ補正X lidar(3615,1804),-145	G(-3775,6440),N(-3630,6439)	RS(785,2439)
シーツ補正X lidar(3617,1806),-143	G(-3779,6440),N(-3636,6439)	RS(780,2429)
シーツ補正X 無視lidar(3617,1806),-143	G(-3690,6440),N(-3652,6439)	RS(780,2429)
シーツ補正X 無視lidar(3636,1798),-124	G(-3690,6440),N(-3663,6441)	RS(785,2434)
シーツ補正X lidar(3636,1798),-124	G(-3800,6440),N(-3676,6442)	RS(785,2434)
シーツ補正X lidar(3636,1798),-124	G(-3813,6440),N(-3689,6444)	RS(791,2429)
シーツ補正X lidar(3682,1802),-78	G(-3792,6440),N(-3714,6447)	RS(801,2416)
シーツ補正X lidar(3682,1802),-78	G(-3802,6440),N(-3724,6449)	RS(801,2416)
シーツ補正X lidar(3733,1801),-27	G(-3761,6440),N(-3734,6450)	RS(819,2410)
シーツ補正X lidar(3733,1801),-27	G(-3770,6440),N(-3743,6452)	RS(844,2422)
シーツ補正X lidar(3783,1804),23	G(-3738,6440),N(-3761,6456)	RS(844,2422)
シーツ補正X lidar(3783,1804),23	G(-3746,6440),N(-3769,6458)	RS(862,2408)
シーツ補正X lidar(3808,1792),48	G(-3728,6440),N(-3776,6459)	RS(862,2408)
