11月11日11時36分	青 決勝
シーツ補正前 lidar(1637,2444) RS_Y:0,X:0	now(-1614.045288,5726.476562,0.055864)	6
シーツ補正X 無視lidar(1704,2448),-2096	G(-3690,6440),N(-1635,5724)	RS(0,0)
シーツ補正X 無視lidar(1704,2448),-2096	G(-3690,6440),N(-1673,5719)	RS(0,0)
シーツ補正X 無視lidar(1765,2464),-2035	G(-3690,6440),N(-1690,5716)	RS(0,0)
シーツ補正X 無視lidar(1765,2464),-2035	G(-3690,6440),N(-1701,5713)	RS(0,0)
シーツ補正X 無視lidar(1765,2464),-2035	G(-3690,6440),N(-1707,5709)	RS(0,0)
シーツ補正X 無視lidar(1804,2464),-1996	G(-3690,6440),N(-1708,5704)	RS(0,0)
シーツ補正X 無視lidar(1804,2464),-1996	G(-3690,6440),N(-1706,5703)	RS(0,0)
シーツ補正X 無視lidar(1813,2481),-1987	G(-3690,6440),N(-1702,5701)	RS(0,0)
シーツ補正X 無視lidar(1813,2481),-1987	G(-3690,6440),N(-1699,5700)	RS(0,0)
シーツ補正X 無視lidar(1798,2486),-2002	G(-3690,6440),N(-1692,5700)	RS(0,0)
シーツ補正X 無視lidar(1798,2486),-2002	G(-3690,6440),N(-1688,5701)	RS(0,0)
シーツ補正X 無視lidar(1795,2492),-2005	G(-3690,6440),N(-1685,5703)	RS(0,0)
シーツ補正X 無視lidar(1795,2492),-2005	G(-3690,6440),N(-1682,5706)	RS(0,0)
シーツ補正X 無視lidar(1795,2492),-2005	G(-3690,6440),N(-1681,5715)	RS(0,0)
シーツ補正X 無視lidar(1789,2485),-2011	G(-3690,6440),N(-1682,5720)	RS(0,0)
シーツ補正X 無視lidar(1789,2485),-2011	G(-3690,6440),N(-1683,5727)	RS(0,0)
シーツ補正X 無視lidar(1788,2479),-2012	G(-3690,6440),N(-1687,5734)	RS(0,0)
シーツ補正X 無視lidar(1788,2479),-2012	G(-3690,6440),N(-1698,5753)	RS(0,0)
シーツ補正X 無視lidar(1806,2447),-1994	G(-3690,6440),N(-1705,5763)	RS(0,0)
シーツ補正X 無視lidar(1806,2447),-1994	G(-3690,6440),N(-1713,5774)	RS(0,0)
シーツ補正X 無視lidar(1826,2414),-1974	G(-3690,6440),N(-1735,5801)	RS(0,0)
シーツ補正X 無視lidar(1826,2414),-1974	G(-3690,6440),N(-1749,5816)	RS(0,0)
シーツ補正X 無視lidar(1826,2414),-1974	G(-3690,6440),N(-1764,5832)	RS(0,0)
シーツ補正X 無視lidar(1869,2376),-1931	G(-3690,6440),N(-1782,5849)	RS(0,0)
シーツ補正X 無視lidar(1869,2376),-1931	G(-3690,6440),N(-1820,5886)	RS(0,0)
シーツ補正X 無視lidar(1919,2321),-1881	G(-3690,6440),N(-1841,5905)	RS(0,0)
シーツ補正X 無視lidar(1919,2321),-1881	G(-3690,6440),N(-1864,5927)	RS(0,0)
シーツ補正X 無視lidar(1981,2321),-1819	G(-3690,6440),N(-1887,5949)	RS(0,0)
シーツ補正X 無視lidar(1981,2321),-1819	G(-3690,6440),N(-1939,5998)	RS(0,0)
シーツ補正X 無視lidar(2046,2256),-1754	G(-3690,6440),N(-1965,6024)	RS(0,0)
シーツ補正X 無視lidar(2046,2256),-1754	G(-3690,6440),N(-1992,6050)	RS(0,0)
シーツ補正X 無視lidar(2046,2256),-1754	G(-3690,6440),N(-2020,6078)	RS(0,0)
シーツ補正X 無視lidar(2131,2175),-1669	G(-3690,6440),N(-2076,6134)	RS(0,0)
シーツ補正X 無視lidar(2131,2175),-1669	G(-3690,6440),N(-2106,6162)	RS(0,0)
シーツ補正X 無視lidar(2221,2079),-1579	G(-3690,6440),N(-2138,6190)	RS(0,0)
シーツ補正X 無視lidar(2221,2079),-1579	G(-3690,6440),N(-2202,6245)	RS(0,0)
シーツ補正X 無視lidar(2315,2001),-1485	G(-3690,6440),N(-2234,6271)	RS(0,0)
シーツ補正X 無視lidar(2315,2001),-1485	G(-3690,6440),N(-2268,6295)	RS(0,0)
シーツ補正X 無視lidar(2413,1926),-1387	G(-3690,6440),N(-2302,6319)	RS(0,0)
シーツ補正X 無視lidar(2413,1926),-1387	G(-3690,6440),N(-2372,6361)	RS(0,0)
シーツ補正X 無視lidar(2413,1926),-1387	G(-3690,6440),N(-2407,6378)	RS(0,0)
シーツ補正X 無視lidar(2505,1839),-1295	G(-3690,6440),N(-2443,6394)	RS(0,0)
シーツ補正X 無視lidar(2505,1839),-1295	G(-3690,6440),N(-2478,6410)	RS(0,0)
シーツ補正X 無視lidar(2602,1777),-1198	G(-3690,6440),N(-2550,6435)	RS(0,0)
シーツ補正X 無視lidar(2602,1777),-1198	G(-3690,6440),N(-2586,6446)	RS(0,0)
シーツ補正X 無視lidar(2699,1729),-1101	G(-3690,6440),N(-2622,6455)	RS(0,0)
シーツ補正X 無視lidar(2699,1729),-1101	G(-3690,6440),N(-2695,6468)	RS(0,0)
シーツ補正X 無視lidar(2800,1703),-1000	G(-3690,6440),N(-2731,6471)	RS(0,0)
シーツ補正X 無視lidar(2800,1703),-1000	G(-3690,6440),N(-2767,6473)	RS(0,0)
シーツ補正X 無視lidar(2800,1703),-1000	G(-3690,6440),N(-2803,6475)	RS(0,0)
シーツ補正X 無視lidar(2895,1697),-905	G(-3690,6440),N(-2876,6475)	RS(0,0)
シーツ補正X 無視lidar(2895,1697),-905	G(-3690,6440),N(-2912,6475)	RS(0,0)
シーツ補正X 無視lidar(2993,1697),-807	G(-3690,6440),N(-2947,6474)	RS(0,0)
シーツ補正X 無視lidar(2993,1697),-807	G(-3690,6440),N(-2982,6473)	RS(0,0)
シーツ補正X 無視lidar(3099,1691),-701	G(-3690,6440),N(-3052,6469)	RS(0,0)
シーツ補正X 無視lidar(3099,1691),-701	G(-3690,6440),N(-3085,6466)	RS(0,0)
シーツ補正X 無視lidar(3191,1701),-609	G(-3690,6440),N(-3118,6463)	RS(0,0)
シーツ補正X 無視lidar(3191,1701),-609	G(-3690,6440),N(-3152,6460)	RS(0,0)
シーツ補正X 無視lidar(3191,1701),-609	G(-3690,6440),N(-3216,6453)	RS(0,0)
シーツ補正X 無視lidar(3276,1710),-524	G(-3690,6440),N(-3246,6451)	RS(0,0)
シーツ補正X 無視lidar(3276,1710),-524	G(-3690,6440),N(-3276,6447)	RS(0,0)
シーツ補正X 無視lidar(3367,1717),-433	G(-3690,6440),N(-3333,6440)	RS(0,0)
シーツ補正X 無視lidar(3367,1717),-433	G(-3690,6440),N(-3360,6437)	RS(0,0)
シーツ補正X 無視lidar(3445,1740),-355	G(-3690,6440),N(-3387,6434)	RS(0,0)
シーツ補正X 無視lidar(3445,1740),-355	G(-3690,6440),N(-3413,6433)	RS(0,0)
シーツ補正X lidar(3511,1756),-289	G(-3749,6440),N(-3460,6431)	RS(0,0)
シーツ補正X lidar(3511,1756),-289	G(-3771,6440),N(-3482,6430)	RS(0,0)
シーツ補正X lidar(3511,1756),-289	G(-3792,6440),N(-3503,6429)	RS(0,0)
シーツ補正X lidar(3576,1766),-224	G(-3746,6440),N(-3522,6429)	RS(0,0)
シーツ補正X lidar(3576,1766),-224	G(-3780,6440),N(-3556,6430)	RS(0,0)
シーツ補正X lidar(3632,1771),-168	G(-3740,6440),N(-3572,6431)	RS(0,0)
シーツ補正X lidar(3632,1771),-168	G(-3755,6440),N(-3587,6432)	RS(0,0)
シーツ補正X lidar(3695,1779),-105	G(-3706,6440),N(-3601,6433)	RS(0,0)
シーツ補正X lidar(3695,1779),-105	G(-3730,6440),N(-3625,6436)	RS(0,0)
シーツ補正X lidar(3729,1779),-71	G(-3706,6440),N(-3635,6437)	RS(0,0)
シーツ補正X lidar(3729,1779),-71	G(-3715,6440),N(-3644,6439)	RS(0,0)
シーツ補正X lidar(3729,1779),-71	G(-3723,6440),N(-3652,6440)	RS(0,0)
シーツ補正X lidar(3756,1774),-44	G(-3706,6440),N(-3662,6442)	RS(0,0)
展開２ lidar(3756,1774) now(-3665.996094,6442.891602,-0.233356)	RS(0,0)	9
シーツ補正X lidar(3756,1774),-44	G(-3709,6440),N(-3665,6442)	RS(0,0)
シーツ補正X lidar(3769,1770),-31	G(-3699,6440),N(-3668,6443)	RS(0,0)
シーツ補正X lidar(3769,1770),-31	G(-3700,6440),N(-3669,6445)	RS(0,0)
シーツ補正X lidar(3772,1763),-28	G(-3697,6440),N(-3669,6445)	RS(0,0)
シーツ補正X lidar(3772,1763),-28	G(-3697,6440),N(-3669,6444)	RS(0,0)
シーツ補正X lidar(3771,1769),-29	G(-3698,6440),N(-3669,6444)	RS(0,0)
シーツ補正X lidar(3771,1769),-29	G(-3698,6440),N(-3669,6444)	RS(0,0)
シーツ補正X lidar(3771,1769),-29	G(-3698,6440),N(-3669,6444)	RS(0,0)
シーツ補正X lidar(3758,1772),-42	G(-3710,6440),N(-3668,6444)	RS(0,0)
シーツ補正X lidar(3758,1772),-42	G(-3710,6440),N(-3668,6444)	RS(0,0)
シーツ補正X lidar(3766,1766),-34	G(-3702,6440),N(-3668,6444)	RS(0,0)
シーツ補正X lidar(3766,1766),-34	G(-3702,6440),N(-3668,6444)	RS(0,0)
シーツ補正X lidar(3760,1766),-40	G(-3708,6440),N(-3668,6444)	RS(0,0)
