11月11日20時24分	青 決勝
11月11日20時24分	青 決勝
CS通信切れ
バスタオル1補正前 lidar(1623,2490) RS_Y:0,X:0	now(-1585.984741,5701.697266,-0.116075)	5
バスタオル1移動始め lidar(1623,2490) goal(-2130,5340,0.000000) now(-1585,5701,-0.116075)
バスタオル1補正X 無し lidar(1623,2490),1183	G(-2130,5340),N(-1585,5701,-0.116075)	RS(0,0)	5
バスタオル1補正X 無し lidar(1699,2495),1259	G(-2130,5340),N(-1631,5701,-0.148087)	RS(0,0)	6
バスタオル1補正X 無し lidar(1699,2495),1259	G(-2130,5340),N(-1651,5701,-0.178854)	RS(0,0)	6
バスタオル1補正X 無し lidar(1766,2495),1326	G(-2130,5340),N(-1669,5701,-0.212886)	RS(0,0)	6
バスタオル1補正X 無し lidar(1766,2495),1326	G(-2130,5340),N(-1686,5701,-0.227171)	RS(0,0)	6
バスタオル1補正X 無し lidar(1823,2497),1383	G(-2130,5340),N(-1718,5701,-0.234212)	RS(0,0)	6
バスタオル1補正X 無し lidar(1823,2497),1383	G(-2130,5340),N(-1732,5701,-0.228655)	RS(0,0)	6
バスタオル1補正X 無し lidar(1823,2497),1383	G(-2130,5340),N(-1746,5700,-0.180152)	RS(0,0)	6
バスタオル1補正X 無し lidar(1852,2496),1412	G(-2130,5340),N(-1759,5699,-0.155800)	RS(0,0)	6
バスタオル1補正X 無し lidar(1852,2496),1412	G(-2130,5340),N(-1788,5695,-0.054003)	RS(0,0)	6
バスタオル1補正X 無し lidar(1890,2505),1450	G(-2130,5340),N(-1803,5692,-0.011855)	RS(0,0)	6
バスタオル1補正X 無し lidar(1890,2505),1450	G(-2130,5340),N(-1820,5688,0.026593)	RS(0,0)	6
バスタオル1補正X 無し lidar(1941,2502),1501	G(-2130,5340),N(-1837,5684,0.051881)	RS(0,0)	6
バスタオル1補正X 無し lidar(1941,2502),1501	G(-2130,5340),N(-1875,5672,0.048094)	RS(0,0)	6
バスタオル1補正X フェンス lidar(1992,2502),-183	G(-2078,5340),N(-1895,5664,0.027753)	RS(0,0)	wait:0	6
バスタオル1補正X フェンス lidar(1992,2502),-183	G(-2097,5340),N(-1914,5656,0.000650)	RS(0,0)	wait:0	6
バスタオル1補正X フェンス lidar(1992,2502),-183	G(-2135,5340),N(-1952,5635,-0.081743)	RS(0,0)	wait:0	6
バスタオル1補正X フェンス lidar(2049,2237),-126	G(-2096,5340),N(-1970,5623,-0.179459)	RS(0,0)	wait:0	6
バスタオル1補正X フェンス lidar(2049,2237),-126	G(-2112,5340),N(-1986,5610,-0.304015)	RS(0,0)	wait:0	6
