11月14日21時33分	赤 予選
11月14日21時33分	赤 予選
11月14日21時34分	赤 予選
バスタオル2補正前 lidar(3170,2428) RS_Y:0,X:0	now(1696.756104,5685.026367,0.076748)	6
バスタオル2移動始め lidar(3170,2428) goal(1696,5700,0.000000) now(1696,5685,0.076748)
バスタオル2補正X 無し lidar(3170,2428),0	G(1696,5700),N(1696,5685,0.076748)	RS(0,0)	6
バスタオル2補正X 無し lidar(3039,2421),2369	G(3140,5700),N(1743,5685,0.093307)	RS(0,0)	6
バスタオル2補正X 無し lidar(3039,2421),2369	G(3140,5700),N(1836,5685,0.114128)	RS(0,0)	6
バスタオル2補正X 無し lidar(3039,2421),2369	G(3140,5700),N(1877,5686,0.136821)	RS(0,0)	6
バスタオル2補正X 無し lidar(2911,2430),2241	G(3140,5700),N(1914,5688,0.413486)	RS(0,0)	6
バスタオル2補正X 無し lidar(2911,2430),2241	G(3140,5700),N(1944,5690,0.779884)	RS(0,0)	6
バスタオル2補正X 無し lidar(2811,2429),2141	G(3140,5700),N(1991,5697,1.562886)	RS(0,0)	6
バスタオル2補正X 無し lidar(2811,2429),2141	G(3140,5700),N(2011,5700,2.229728)	RS(0,0)	7
バスタオル2補正X 無し lidar(2749,2424),2141	G(3140,5700),N(2030,5704,3.114738)	RS(0,0)	7
バスタオル2補正X 無し lidar(2749,2424),2141	G(3140,5700),N(2062,5710,4.996702)	RS(0,0)	7
バスタオル2補正X 無し lidar(2698,2423),2141	G(3140,5700),N(2078,5714,5.986292)	RS(0,0)	7
バスタオル2補正X 無し lidar(2698,2423),2141	G(3140,5700),N(2094,5717,7.070597)	RS(0,0)	7
バスタオル2補正X 無し lidar(2698,2423),2141	G(3140,5700),N(2110,5721,8.205605)	RS(0,0)	7
バスタオル2補正X 無し lidar(2671,2425),2141	G(3140,5700),N(2143,5730,10.179170)	RS(0,0)	7
バスタオル2補正X 無し lidar(2671,2425),2141	G(3140,5700),N(2158,5734,10.687677)	RS(0,0)	7
バスタオル2補正X 無し lidar(2644,2439),2141	G(3140,5700),N(2172,5738,10.905764)	RS(0,0)	7
バスタオル2補正X 無し lidar(2644,2439),2141	G(3140,5700),N(2198,5742,10.271132)	RS(0,0)	7
バスタオル2補正X 無し lidar(2618,2446),2141	G(3140,5700),N(2211,5743,9.425536)	RS(0,0)	7
バスタオル2補正X 無し lidar(2618,2446),2141	G(3140,5700),N(2222,5742,8.321038)	RS(0,0)	7
バスタオル2補正X 無し lidar(2618,2446),2141	G(3140,5700),N(2233,5741,7.090238)	RS(0,0)	7
バスタオル2補正X 無し lidar(2565,2425),2141	G(3140,5700),N(2255,5736,4.544615)	RS(0,0)	7
バスタオル2補正X 無し lidar(2565,2425),2141	G(3140,5700),N(2265,5733,3.387044)	RS(0,0)	7
バスタオル2補正X 無し lidar(2523,2403),2141	G(3140,5700),N(2277,5729,2.429826)	RS(0,0)	7
バスタオル2補正X 無し lidar(2523,2403),1853	G(3140,5700),N(2291,5725,1.675967)	RS(0,0)	7
バスタオル2補正X 無し lidar(2492,2402),1822	G(3140,5700),N(2321,5715,0.595363)	RS(0,0)	7
バスタオル2補正X 無し lidar(2492,2402),1822	G(3140,5700),N(2338,5711,0.279889)	RS(0,0)	7
バスタオル2補正X 無し lidar(2445,2402),1775	G(3140,5700),N(2357,5706,0.104915)	RS(0,0)	7
バスタオル2補正X 無し lidar(2445,2402),1775	G(3140,5700),N(2378,5701,-0.006614)	RS(0,0)	7
バスタオル2補正X 無し lidar(2445,2402),1775	G(3140,5700),N(2424,5692,-0.074904)	RS(0,0)	7
バスタオル2補正X 無し lidar(2380,2416),1710	G(3140,5700),N(2449,5688,-0.105551)	RS(0,0)	7
バスタオル2補正X 無し lidar(2380,2416),1710	G(3140,5700),N(2474,5685,-0.109893)	RS(0,0)	7
バスタオル2補正X 無し lidar(2307,2444),1637	G(3140,5700),N(2502,5682,-0.095282)	RS(0,0)	7
バスタオル2補正X 無し lidar(2307,2444),1637	G(3140,5700),N(2559,5679,-0.086723)	RS(0,0)	8
バスタオル2補正X 無し lidar(2225,2459),1555	G(3140,5700),N(2590,5679,-0.118101)	RS(0,0)	8
バスタオル2補正X 無し lidar(2225,2459),1555	G(3140,5700),N(2622,5679,-0.134859)	RS(0,0)	8
バスタオル2補正X 無し lidar(2130,2465),1460	G(3140,5700),N(2687,5679,-0.208679)	RS(0,0)	8
バスタオル2補正X 無し lidar(2130,2465),1460	G(3140,5700),N(2721,5679,-0.269408)	RS(0,0)	8
バスタオル2補正X 無し lidar(2130,2465),1460	G(3140,5340),N(2754,5680,-0.322521)	RS(0,0)	8
バスタオル2補正X 無し lidar(2035,2458),1365	G(3140,5340),N(2788,5681,-0.393552)	RS(0,0)	8
バスタオル2補正X 無し lidar(2035,2458),1365	G(3140,5340),N(2853,5683,-0.476041)	RS(0,0)	8
バスタオル2補正X 無し lidar(1937,2459),1267	G(3140,5340),N(2884,5684,-0.516563)	RS(0,0)	8
バスタオル2補正X 無し lidar(1937,2459),1267	G(3140,5340),N(2913,5685,-0.544172)	RS(0,0)	8
バスタオル2補正X フェンス lidar(1862,2459),152	G(3093,5340),N(2941,5686,-0.566729)	RS(0,0)	wait:9	8
バスタオル2補正X フェンス lidar(1862,2459),152	G(3143,5340),N(2991,5688,-0.597897)	RS(0,0)	wait:9	8
バスタオル2補正X フェンス lidar(1786,2459),76	G(3089,5340),N(3013,5688,-0.600942)	RS(0,0)	wait:9	8
バスタオル2補正X フェンス lidar(1786,2459),76	G(3109,5340),N(3033,5689,-0.589260)	RS(0,0)	wait:9	8
バスタオル2補正X フェンス lidar(1786,2459),76	G(3127,5340),N(3051,5691,-0.506903)	RS(0,0)	wait:9	8
バスタオル2補正X フェンス lidar(1720,2441),10	G(3092,5340),N(3082,5693,0.134076)	RS(0,0)	wait:9	8
バスタオル2補正X フェンス lidar(1720,2441),10	G(3105,5340),N(3095,5693,0.685898)	RS(0,0)	wait:9	8
バスタオル2補正X フェンス lidar(1682,2441),-28	G(3079,5340),N(3107,5693,1.319388)	RS(0,0)	wait:9	8
バスタオル2補正X 無し lidar(1682,2441),-28	G(3079,5340),N(3126,5692,2.599437)	RS(0,0)	8
バスタオル2補正X 無し lidar(1639,2442),-28	G(3079,5340),N(3133,5691,3.261929)	RS(0,0)	8
バスタオル2補正X 無し lidar(1639,2442),-28	G(3079,5340),N(3138,5689,3.936799)	RS(0,0)	8
バスタオル2補正X 無し lidar(1623,2444),-28	G(3079,5340),N(3141,5685,4.451315)	RS(0,0)	8
バスタオル2補正X 無し lidar(1623,2444),-28	G(3079,5340),N(3142,5677,4.851937)	RS(0,0)	8
