11月16日10時45分	青 予選
シーツ補正前 lidar(1654,2498) RS_Y:0,X:0	now(-1635.302856,5671.202637,0.365663)	6
展開２ lidar(1778,2498) now(-1772.454102,5671.011230,0.271497)	RS(0,0)	6
シーツ補正X 無視lidar(1778,2498),-2002	G(-3690,6440),N(-1772,5671)	RS(0,0)
シーツ補正X 無視lidar(1778,2498),-2002	G(-3690,6440),N(-1772,5671)	RS(0,0)
シーツ補正X 無視lidar(1908,2502),-1872	G(-3690,6440),N(-1818,5671)	RS(0,0)
シーツ補正X 無視lidar(1908,2502),-1872	G(-3690,6440),N(-1911,5672)	RS(0,0)
シーツ補正X 無視lidar(2031,2492),-1749	G(-3690,6440),N(-1958,5672)	RS(0,0)
シーツ補正X 無視lidar(2031,2492),-1749	G(-3690,6440),N(-2005,5672)	RS(0,0)
シーツ補正X 無視lidar(2171,2485),-1609	G(-3690,6440),N(-2051,5673)	RS(0,0)
シーツ補正X 無視lidar(2171,2485),-1609	G(-3690,6440),N(-2144,5678)	RS(0,0)
シーツ補正X 無視lidar(2171,2485),-1609	G(-3690,6440),N(-2190,5682)	RS(0,0)
シーツ補正X 無視lidar(2309,2486),-1471	G(-3690,6440),N(-2237,5687)	RS(0,0)
シーツ補正X 無視lidar(2309,2486),-1471	G(-3690,6440),N(-2283,5691)	RS(0,0)
シーツ補正X 無視lidar(2452,2481),-1328	G(-3690,6440),N(-2375,5702)	RS(0,0)
シーツ補正X 無視lidar(2452,2481),-1328	G(-3690,6440),N(-2421,5708)	RS(0,0)
シーツ補正X 無視lidar(2574,2468),-1206	G(-3690,6440),N(-2466,5714)	RS(0,0)
シーツ補正X 無視lidar(2574,2468),-1206	G(-3690,6440),N(-2557,5730)	RS(0,0)
シーツ補正X 無視lidar(2696,2444),-1084	G(-3690,6440),N(-2603,5740)	RS(0,0)
シーツ補正X 無視lidar(2696,2444),-1084	G(-3690,6440),N(-2648,5751)	RS(0,0)
シーツ補正X 無視lidar(2696,2444),-1084	G(-3690,6440),N(-2693,5764)	RS(0,0)
シーツ補正X 無視lidar(2833,2412),-947	G(-3690,6440),N(-2783,5791)	RS(0,0)
シーツ補正X 無視lidar(2833,2412),-947	G(-3690,6440),N(-2828,5806)	RS(0,0)
シーツ補正X 無視lidar(2943,2377),-837	G(-3690,6440),N(-2872,5822)	RS(0,0)
シーツ補正X 無視lidar(2943,2377),-837	G(-3690,6440),N(-2916,5837)	RS(0,0)
シーツ補正X 無視lidar(3068,2377),-712	G(-3690,6440),N(-3001,5871)	RS(0,0)
シーツ補正X 無視lidar(3068,2377),-712	G(-3690,6440),N(-3043,5890)	RS(0,0)
シーツ補正X 無視lidar(3194,2328),-586	G(-3690,6440),N(-3085,5911)	RS(0,0)
シーツ補正X 無視lidar(3194,2328),-586	G(-3690,6440),N(-3126,5932)	RS(0,0)
シーツ補正X 無視lidar(3194,2328),-586	G(-3690,6440),N(-3205,5980)	RS(0,0)
シーツ補正X 無視lidar(3300,2271),-480	G(-3690,6440),N(-3244,6004)	RS(0,0)
シーツ補正X 無視lidar(3300,2271),-480	G(-3690,6440),N(-3281,6030)	RS(0,0)
シーツ補正X 無視lidar(3408,2214),-372	G(-3690,6440),N(-3352,6083)	RS(0,0)
シーツ補正X 無視lidar(3408,2214),-372	G(-3690,6440),N(-3386,6109)	RS(0,0)
シーツ補正X lidar(3513,2126),-267	G(-3686,6440),N(-3419,6136)	RS(0,0)
シーツ補正X lidar(3513,2126),-267	G(-3717,6440),N(-3450,6162)	RS(0,0)
シーツ補正X lidar(3615,2049),-165	G(-3672,6440),N(-3507,6211)	RS(0,0)
シーツ補正X lidar(3615,2049),-165	G(-3699,6440),N(-3534,6235)	RS(0,0)
シーツ補正X lidar(3615,2049),-165	G(-3723,6440),N(-3558,6259)	RS(0,0)
シーツ補正X lidar(3700,1972),-80	G(-3661,6440),N(-3581,6281)	RS(0,0)
シーツ補正X lidar(3700,1972),-80	G(-3698,6440),N(-3618,6318)	RS(0,0)
シーツ補正X 無視lidar(3773,1908),-7	G(-3690,6440),N(-3633,6334)	RS(0,0)
シーツ補正X 無視lidar(3773,1908),-7	G(-3690,6440),N(-3646,6347)	RS(0,0)
シーツ補正X 無視lidar(3895,1845),115	G(-3690,6440),N(-3657,6358)	RS(0,0)
シーツ補正X 無視lidar(3895,1845),115	G(-3690,6440),N(-3670,6375)	RS(0,0)
シーツ補正X 無視lidar(4009,1810),229	G(-3690,6440),N(-3674,6381)	RS(0,0)
シーツ補正X 無視lidar(4009,1810),229	G(-3690,6440),N(-3675,6386)	RS(0,0)
シーツ補正X 無視lidar(4009,1810),229	G(-3690,6440),N(-3674,6394)	RS(0,0)
シーツ補正X 無視lidar(3975,1810),195	G(-3690,6440),N(-3672,6396)	RS(0,0)
シーツ補正X 無視lidar(3975,1810),195	G(-3690,6440),N(-3669,6398)	RS(0,0)
シーツ補正X 無視lidar(3880,1796),100	G(-3690,6440),N(-3668,6399)	RS(0,0)
シーツ補正X 無視lidar(3880,1796),100	G(-3690,6440),N(-3664,6403)	RS(0,0)
シーツ補正X 無視lidar(3830,1785),50	G(-3690,6440),N(-3662,6405)	RS(0,0)
シーツ補正X 無視lidar(3830,1785),50	G(-3690,6440),N(-3660,6408)	RS(0,0)
シーツ補正X 無視lidar(3817,1778),37	G(-3690,6440),N(-3659,6411)	RS(0,0)
シーツ補正X 無視lidar(3817,1778),37	G(-3690,6440),N(-3658,6416)	RS(0,0)
シーツ補正X lidar(3817,1778),37	G(-3620,6440),N(-3657,6418)	RS(0,0)
シーツ補正X lidar(3816,1769),36	G(-3621,6440),N(-3657,6420)	RS(0,0)
シーツ補正X lidar(3816,1769),36	G(-3621,6440),N(-3657,6423)	RS(0,0)
シーツ補正X lidar(3814,1767),34	G(-3623,6440),N(-3657,6426)	RS(0,0)
シーツ補正X lidar(3814,1767),34	G(-3622,6440),N(-3656,6427)	RS(0,0)
シーツ補正X lidar(3810,1767),30	G(-3626,6440),N(-3656,6427)	RS(0,0)
シーツ補正X lidar(3810,1767),30	G(-3625,6440),N(-3655,6427)	RS(0,0)
シーツ補正X lidar(3799,1763),19	G(-3637,6440),N(-3656,6428)	RS(0,0)
シーツ補正X lidar(3799,1763),19	G(-3636,6440),N(-3655,6428)	RS(0,0)
シーツ補正X lidar(3799,1763),19	G(-3636,6440),N(-3655,6428)	RS(0,0)
シーツ補正X lidar(3800,1774),20	G(-3635,6440),N(-3655,6429)	RS(0,0)
シーツ補正X lidar(3800,1774),20	G(-3634,6440),N(-3654,6429)	RS(0,0)
シーツ補正X lidar(3802,1771),22	G(-3632,6440),N(-3654,6429)	RS(0,0)
シーツ補正X lidar(3802,1771),22	G(-3632,6440),N(-3654,6429)	RS(0,0)
