11月18日20時25分	赤 決勝
バスタオル1補正前 lidar(3332,1873) RS_Y:0,X:0	now(1642.186401,5682.604980,0.206025)	5
バスタオル1移動始め lidar(3332,1873) goal(1920,5340,0.000000) now(1642,5682,0.206025)
バスタオル1補正X 無し lidar(3332,1873),1632	G(1920,5340),N(1642,5682,0.206025)	RS(0,0)	5
バスタオル1補正X 無し lidar(3245,2443),1545	G(1920,5340),N(1699,5683,0.296117)	RS(0,0)	6
バスタオル1補正X 無し lidar(3245,2443),1545	G(1920,5340),N(1725,5683,0.338336)	RS(0,0)	6
バスタオル1補正X 無し lidar(3245,2443),1545	G(1920,5340),N(1748,5684,0.344614)	RS(0,0)	6
バスタオル1補正X フェンス lidar(3153,2440),398	G(2168,5340),N(1770,5685,0.314911)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(3153,2440),398	G(2206,5340),N(1808,5687,0.186607)	RS(0,0)	wait:9	6
バスタオル1補正X 無し lidar(3096,2440),398	G(2206,5340),N(1823,5687,0.096871)	RS(0,0)	6
バスタオル1補正X 無し lidar(3096,2440),398	G(2206,5340),N(1837,5687,-0.039264)	RS(0,0)	6
バスタオル1補正X 無し lidar(3058,2431),398	G(2206,5340),N(1849,5687,-0.173267)	RS(0,0)	6
バスタオル1補正X 無し lidar(3058,2431),398	G(2206,5340),N(1866,5686,-0.414321)	RS(0,0)	6
バスタオル1補正X 無し lidar(3030,2437),398	G(2206,5340),N(1873,5685,-0.473509)	RS(0,0)	6
バスタオル1補正X 無し lidar(3030,2437),398	G(2206,5340),N(1880,5683,-0.489489)	RS(0,0)	6
バスタオル1補正X 無し lidar(3030,2437),398	G(2206,5340),N(1897,5675,-0.348905)	RS(0,0)	6
バスタオル1補正X 無し lidar(3005,2446),398	G(2206,5340),N(1907,5668,-0.281274)	RS(0,0)	6
バスタオル1補正X 無し lidar(3005,2446),398	G(2206,5340),N(1919,5659,-0.243886)	RS(0,0)	6
バスタオル1補正X 無し lidar(2985,2459),398	G(2206,5340),N(1932,5648,-0.262628)	RS(0,0)	6
バスタオル1補正X 無し lidar(2985,2459),398	G(2206,5340),N(1963,5623,-0.417462)	RS(0,0)	6
バスタオル1補正X 無し lidar(2955,2459),398	G(2206,5340),N(1980,5609,-0.524200)	RS(0,0)	6
バスタオル1補正X 無し lidar(2955,2459),398	G(2206,5340),N(1998,5594,-0.591562)	RS(0,0)	6
バスタオル1補正X 無し lidar(2912,2494),398	G(2206,5340),N(2015,5578,-0.626701)	RS(0,0)	6
バスタオル1補正X 無し lidar(2912,2494),398	G(2206,5340),N(2050,5544,-0.554563)	RS(0,0)	6
バスタオル1補正X 無し lidar(2912,2494),398	G(2206,5340),N(2067,5526,-0.485449)	RS(0,0)	6
バスタオル1補正X 無し lidar(2862,2530),398	G(2206,5340),N(2085,5508,-0.381883)	RS(0,0)	6
バスタオル1補正X 無し lidar(2862,2530),398	G(2206,5340),N(2104,5489,-0.262642)	RS(0,0)	6
バスタオル1補正X 無し lidar(2812,2581),398	G(2206,5340),N(2137,5449,-0.032616)	RS(0,0)	6
バスタオル1補正X 無し lidar(2812,2581),398	G(2206,5340),N(2153,5430,0.101720)	RS(0,0)	6
バスタオル1補正X 無し lidar(2757,2641),398	G(2206,5340),N(2168,5412,0.209174)	RS(0,0)	7
バスタオル1補正X 無し lidar(2757,2641),398	G(2206,5340),N(2195,5377,0.411518)	RS(0,0)	7
バスタオル1補正X 無し lidar(2724,2692),398	G(2206,5340),N(2207,5363,0.515136)	RS(0,0)	7
バスタオル1補正X 無し lidar(2724,2692),398	G(2206,5340),N(2217,5350,0.623586)	RS(0,0)	7
バスタオル1補正X 無し lidar(2724,2692),398	G(2206,5340),N(2226,5339,0.707086)	RS(0,0)	7
バスタオル1補正X 無し lidar(2685,2747),398	G(2206,5340),N(2237,5326,0.933860)	RS(0,0)	7
バスタオル1補正X 無し lidar(2685,2747),398	G(1920,5340),N(2241,5322,1.007235)	RS(0,0)	7
バスタオル1補正X フェンス lidar(2676,2766),-79	G(2163,5340),N(2242,5320,1.075151)	RS(0,0)	wait:9	7
バスタオル1補正X フェンス lidar(2676,2766),-79	G(2161,5340),N(2240,5321,1.086077)	RS(0,0)	wait:9	7
バスタオル1補正X フェンス lidar(2667,2779),-88	G(2149,5340),N(2237,5323,0.970141)	RS(0,0)	wait:9	7
バスタオル1補正X フェンス lidar(2667,2779),-88	G(2148,5340),N(2236,5325,0.878989)	RS(0,0)	wait:9	7
11月18日20時26分	赤 決勝
バスタオル1補正前 lidar(3276,2436) RS_Y:0,X:0	now(1604.416870,5683.437012,0.106405)	5
バスタオル1移動始め lidar(3276,2436) goal(1920,5340,0.000000) now(1604,5683,0.106405)
バスタオル1補正X 無し lidar(3276,2436),1576	G(1920,5340),N(1604,5683,0.106405)	RS(0,0)	5
バスタオル1補正X 無し lidar(3276,2436),1576	G(1920,5340),N(1665,5682,0.189884)	RS(0,0)	6
バスタオル1補正X 無し lidar(3276,2436),1576	G(1920,5340),N(1693,5683,0.257083)	RS(0,0)	6
バスタオル1補正X 無し lidar(3188,2432),1488	G(1920,5340),N(1720,5683,0.255935)	RS(0,0)	6
バスタオル1補正X 無し lidar(3188,2432),1488	G(1920,5340),N(1744,5683,0.238941)	RS(0,0)	6
バスタオル1補正X フェンス lidar(3111,2425),356	G(2142,5340),N(1786,5684,0.109276)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(3111,2425),356	G(2160,5340),N(1804,5684,-0.002464)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(3055,2424),300	G(2120,5340),N(1820,5683,-0.108757)	RS(0,0)	wait:9	6
バスタオル1補正X フェンス lidar(3055,2424),300	G(2141,5340),N(1841,5682,-0.371293)	RS(0,0)	wait:9	6
