11月20日17時10分	青 予選
展開 now(-425.498505,4415.262207,0.057573)	3
展開 now(-423.553894,4609.768555,0.031665)	3
展開 now(-417.404297,4846.048828,0.249492)	3
展開 now(-416.674774,4954.214844,0.318877)	3
展開 now(-418.718658,5139.666992,0.555492)	3
展開 now(-421.665222,5217.568359,0.549502)	4
展開 now(-432.306854,5354.312988,0.497412)	4
展開 now(-450.341980,5437.106934,0.253376)	4
展開 now(-479.971222,5503.196289,-0.204155)	4
展開 now(-520.164673,5556.133789,-0.480442)	4
展開 now(-590.452942,5615.293945,-0.441045)	4
展開 now(-631.710876,5642.713867,-0.389698)	4
展開 now(-724.304443,5690.355957,-0.332517)	4
展開 now(-802.696716,5717.925781,-0.330537)	4
展開 now(-890.788818,5739.917969,-0.273064)	4
展開 now(-987.343689,5757.162109,-0.213401)	5
展開 now(-1128.206787,5766.870605,-0.066893)	5
展開 now(-1203.015503,5767.517090,0.016366)	5
展開 now(-1365.100830,5765.250000,0.006140)	5
展開 now(-1486.667358,5761.559570,-0.089861)	5
展開 now(-1603.893799,5753.148438,-0.214075)	5
展開 now(-1709.917236,5741.702637,-0.221902)	5
展開 now(-1831.260376,5724.886719,-0.317113)	5
展開 now(-1880.557495,5716.112305,-0.313374)	5
展開 now(-1950.159424,5702.540039,-0.505373)	5
展開 now(-1975.777588,5696.548828,-0.567449)	6
展開 now(-1982.058960,5691.622070,-0.539329)	6
展開 now(-1980.503540,5691.295410,-0.553943)	6
展開 now(-1979.256836,5691.284180,-0.511593)	6
展開 now(-1979.254028,5691.595703,-0.504496)	6
展開 now(-1978.942383,5691.592773,-0.504496)	6
展開 now(-1979.872681,5692.223633,-0.369839)	6
展開 now(-1983.918457,5693.798340,-0.079665)	6
展開 now(-1990.469360,5695.654297,0.326233)	6
展開 now(-2001.411621,5698.977539,0.665299)	6
展開 now(-2007.046143,5701.097168,0.558844)	7
展開 now(-2016.109619,5705.098145,0.017545)	7
展開 now(-2021.096924,5705.425781,-0.405921)	7
展開 now(-2023.913330,5704.203125,-0.538180)	7
展開 now(-2024.547852,5702.961914,-0.464273)	7
展開 now(-2024.857178,5703.276367,-0.455561)	7
展開 now(-2024.857178,5703.276367,-0.455561)	7
展開 now(-2024.857178,5703.276367,-0.455561)	7
展開 now(-2024.857178,5703.276367,-0.455561)	7
展開 now(-2024.857178,5703.276367,-0.455561)	7
展開 now(-2024.857178,5703.276367,-0.455561)	8
展開 now(-2024.857178,5703.276367,-0.455561)	8
展開 now(-2024.857178,5703.276367,-0.455561)	8
展開 now(-2024.857178,5703.276367,-0.455561)	8
展開 now(-2024.857178,5703.276367,-0.455561)	8
展開 now(-2024.857178,5703.276367,-0.455561)	8
展開 now(-2024.857178,5703.276367,-0.455561)	8
展開 now(-2024.857178,5703.276367,-0.455561)	8
展開 now(-2024.857178,5703.276367,-0.455561)	8
展開 now(-2024.857178,5703.276367,-0.455561)	8
展開 now(-2024.857178,5703.276367,-0.455561)	9
展開 now(-2024.857178,5703.276367,-0.455561)	9
展開 now(-2024.857178,5703.276367,-0.455561)	9
展開 now(-2024.857178,5703.276367,-0.455561)	9
展開 now(-2024.857178,5703.276367,-0.455561)	9
展開 now(-2024.857178,5703.276367,-0.455561)	9
展開 now(-2024.857178,5703.276367,-0.455561)	9
展開 now(-2024.857178,5703.276367,-0.455561)	9
展開 now(-2024.857178,5703.276367,-0.455561)	9
展開 now(-2024.857178,5703.276367,-0.455561)	9
展開 now(-2024.857178,5703.276367,-0.455561)	10
展開 now(-2024.857178,5703.276367,-0.455561)	10
展開 now(-2024.857178,5703.276367,-0.455561)	10
展開 now(-2024.857178,5703.276367,-0.455561)	10
展開 now(-2024.857178,5703.276367,-0.455561)	10
展開 now(-2024.857178,5703.276367,-0.455561)	10
展開 now(-2024.857178,5703.276367,-0.455561)	10
展開 now(-2024.857178,5703.276367,-0.455561)	10
