11月5日20時38分	赤 決勝
11月5日20時38分	赤 決勝
シーツ補正前 lidar(3381,1391) RS_Y:0,X:0	now(1585.063110,5728.332031,0.382851)	6
シーツ補正X lidar(3297,2386),237	G(1867,6340),N(1630,5718)	RS(0,0)
シーツ補正X lidar(3297,2386),237	G(1886,6340),N(1649,5713)	RS(0,0)
シーツ補正X lidar(3237,2410),177	G(1845,6340),N(1668,5708)	RS(0,0)
シーツ補正X lidar(3237,2410),177	G(1861,6340),N(1684,5704)	RS(0,0)
シーツ補正X lidar(3192,2423),132	G(1835,6340),N(1703,5701)	RS(0,0)
シーツ補正X lidar(3192,2423),132	G(1838,6340),N(1706,5701)	RS(0,0)
シーツ補正X 無視lidar(3183,2434),123	G(1730,6340),N(1708,5702)	RS(0,0)
シーツ補正X 無視lidar(3183,2434),123	G(1730,6340),N(1705,5704)	RS(0,0)
シーツ補正X 無視lidar(3183,2434),123	G(1730,6340),N(1703,5706)	RS(0,0)
シーツ補正X 無視lidar(3180,2434),120	G(1730,6340),N(1700,5709)	RS(0,0)
シーツ補正X 無視lidar(3180,2434),120	G(1730,6340),N(1697,5713)	RS(0,0)
シーツ補正X 無視lidar(3191,2423),131	G(1730,6340),N(1691,5721)	RS(0,0)
シーツ補正X 無視lidar(3191,2423),131	G(1730,6340),N(1687,5726)	RS(0,0)
シーツ補正X 無視lidar(3189,2423),129	G(1730,6340),N(1684,5731)	RS(0,0)
シーツ補正X lidar(3189,2423),129	G(1810,6340),N(1681,5736)	RS(0,0)
シーツ補正X lidar(3196,2408),136	G(1814,6340),N(1678,5746)	RS(0,0)
シーツ補正X lidar(3196,2408),136	G(1813,6340),N(1677,5752)	RS(0,0)
シーツ補正X lidar(3196,2408),136	G(1813,6340),N(1677,5759)	RS(0,0)
シーツ補正X lidar(3200,2398),140	G(1817,6340),N(1677,5767)	RS(0,0)
シーツ補正X 無視lidar(3200,2398),140	G(1730,6340),N(1679,5785)	RS(0,0)
シーツ補正X 無視lidar(3199,2388),139	G(1730,6340),N(1681,5795)	RS(0,0)
シーツ補正X 無視lidar(3199,2388),139	G(1730,6340),N(1685,5806)	RS(0,0)
シーツ補正X 無視lidar(3199,2363),139	G(1730,6340),N(1695,5831)	RS(0,0)
シーツ補正X 無視lidar(3199,2363),139	G(1730,6340),N(1701,5844)	RS(0,0)
シーツ補正X 無視lidar(3184,2322),124	G(1730,6340),N(1708,5860)	RS(0,0)
シーツ補正X 無視lidar(3184,2322),124	G(1730,6340),N(1715,5876)	RS(0,0)
シーツ補正X 無視lidar(3184,2322),124	G(1730,6340),N(1726,5912)	RS(0,0)
シーツ補正X 無視lidar(3162,2275),102	G(1730,6340),N(1731,5932)	RS(0,0)
シーツ補正X 無視lidar(3162,2275),102	G(1730,6340),N(1736,5954)	RS(0,0)
シーツ補正X lidar(3148,2207),88	G(1827,6340),N(1739,5976)	RS(0,0)
シーツ補正X lidar(3148,2207),88	G(1832,6340),N(1744,6023)	RS(0,0)
シーツ補正X lidar(3134,2128),74	G(1819,6340),N(1745,6048)	RS(0,0)
シーツ補正X lidar(3134,2128),74	G(1820,6340),N(1746,6073)	RS(0,0)
シーツ補正X lidar(3126,2047),66	G(1813,6340),N(1747,6099)	RS(0,0)
シーツ補正X lidar(3126,2047),66	G(1815,6340),N(1749,6150)	RS(0,0)
シーツ補正X lidar(3126,2047),66	G(1815,6340),N(1749,6174)	RS(0,0)
シーツ補正X lidar(3126,2047),66	G(1816,6340),N(1750,6198)	RS(0,0)
シーツ補正X lidar(3126,2047),66	G(1817,6340),N(1751,6221)	RS(0,0)
シーツ補正X lidar(3124,1969),64	G(1816,6340),N(1752,6261)	RS(0,0)
シーツ補正X lidar(3124,1969),64	G(1818,6340),N(1754,6279)	RS(0,0)
シーツ補正X lidar(3124,1898),64	G(1821,6340),N(1757,6294)	RS(0,0)
シーツ補正X lidar(3124,1898),64	G(1826,6340),N(1762,6320)	RS(0,0)
シーツ補正X lidar(3114,1835),54	G(1819,6340),N(1765,6329)	RS(0,0)
シーツ補正X lidar(3114,1835),54	G(1823,6340),N(1769,6337)	RS(0,0)
シーツ補正X 無視lidar(3114,1835),54	G(1730,6340),N(1773,6342)	RS(0,0)
展開２ lidar(3107,1787) now(1780.006104,6348.585938,-1.052767)	RS(0,0)	8
シーツ補正X 無視lidar(3107,1787),47	G(1730,6340),N(1780,6348)	RS(0,0)
シーツ補正X 無視lidar(3107,1787),47	G(1730,6340),N(1783,6348)	RS(0,0)
シーツ補正X 無視lidar(3086,1768),26	G(1730,6340),N(1787,6347)	RS(0,0)
シーツ補正X lidar(3086,1768),26	G(1815,6340),N(1789,6345)	RS(0,0)
シーツ補正X lidar(3081,1756),21	G(1811,6340),N(1790,6341)	RS(0,0)
シーツ補正X lidar(3081,1756),21	G(1810,6340),N(1789,6339)	RS(0,0)
シーツ補正X lidar(3076,1775),16	G(1804,6340),N(1788,6336)	RS(0,0)
シーツ補正X lidar(3076,1775),16	G(1803,6340),N(1787,6333)	RS(0,0)
シーツ補正X lidar(3076,1775),16	G(1804,6340),N(1788,6328)	RS(0,0)
シーツ補正X lidar(3078,1793),18	G(1806,6340),N(1788,6327)	RS(0,0)
シーツ補正X lidar(3078,1793),18	G(1806,6340),N(1788,6326)	RS(0,0)
シーツ補正X lidar(3082,1809),22	G(1810,6340),N(1788,6325)	RS(0,0)
シーツ補正X lidar(3082,1809),22	G(1810,6340),N(1788,6325)	RS(0,0)
シーツ補正X lidar(3083,1809),23	G(1811,6340),N(1788,6325)	RS(0,0)
シーツ補正X lidar(3083,1809),23	G(1811,6340),N(1788,6326)	RS(0,0)
シーツ補正X lidar(3073,1815),13	G(1801,6340),N(1788,6326)	RS(0,0)
シーツ補正X lidar(3073,1815),13	G(1801,6340),N(1788,6326)	RS(0,0)
シーツ補正X lidar(3073,1815),13	G(1801,6340),N(1788,6326)	RS(0,0)
シーツ補正X lidar(3083,1818),23	G(1811,6340),N(1788,6326)	RS(0,0)
シーツ補正X lidar(3083,1818),23	G(1811,6340),N(1788,6326)	RS(0,0)
シーツ補正X lidar(3079,1825),19	G(1807,6340),N(1788,6326)	RS(0,0)
シーツ補正X lidar(3079,1825),19	G(1807,6340),N(1788,6326)	RS(0,0)
シーツ補正X lidar(3086,1824),26	G(1815,6340),N(1789,6326)	RS(0,0)
シーツ補正X lidar(3086,1824),26	G(1815,6340),N(1789,6326)	RS(0,0)
シーツ補正X lidar(3075,1825),15	G(1805,6340),N(1790,6326)	RS(0,0)
シーツ補正X lidar(3075,1825),15	G(1806,6340),N(1791,6327)	RS(0,0)
シーツ補正X lidar(3075,1825),15	G(1808,6340),N(1793,6328)	RS(0,0)
シーツ補正X lidar(3077,1819),17	G(1811,6340),N(1794,6329)	RS(0,0)
シーツ補正X lidar(3077,1819),17	G(1812,6340),N(1795,6329)	RS(0,0)
シーツ補正X lidar(3072,1818),12	G(1808,6340),N(1796,6330)	RS(0,0)
シーツ補正X lidar(3072,1818),12	G(1809,6340),N(1797,6331)	RS(0,0)
シーツ補正X lidar(3071,1814),11	G(1809,6340),N(1798,6331)	RS(0,0)
シーツ補正X lidar(3071,1814),11	G(1810,6340),N(1799,6332)	RS(0,0)
シーツ補正X lidar(3068,1810),8	G(1809,6340),N(1801,6334)	RS(0,0)
シーツ補正X lidar(3068,1810),8	G(1810,6340),N(1802,6335)	RS(0,0)
シーツ補正X lidar(3068,1810),8	G(1811,6340),N(1803,6335)	RS(0,0)
シーツ補正X lidar(3069,1810),9	G(1812,6340),N(1803,6336)	RS(0,0)
シーツ補正X lidar(3069,1810),9	G(1814,6340),N(1805,6337)	RS(0,0)
シーツ補正X lidar(3068,1798),8	G(1813,6340),N(1805,6337)	RS(0,0)
シーツ補正X lidar(3068,1798),8	G(1813,6340),N(1805,6338)	RS(0,0)
シーツ補正X lidar(3063,1794),3	G(1809,6340),N(1806,6338)	RS(0,0)
シーツ補正X lidar(3063,1794),3	G(1810,6340),N(1807,6339)	RS(0,0)
シーツ補正X lidar(3066,1798),6	G(1813,6340),N(1807,6339)	RS(0,0)
シーツ補正X lidar(3066,1798),6	G(1813,6340),N(1807,6339)	RS(0,0)
シーツ補正X lidar(3066,1798),6	G(1813,6340),N(1807,6339)	RS(0,0)
シーツ補正X lidar(3056,1793),-4	G(1803,6340),N(1807,6339)	RS(0,0)
シーツ補正X lidar(3056,1793),-4	G(1803,6340),N(1807,6340)	RS(0,0)
シーツ補正X lidar(3063,1796),3	G(1811,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3063,1796),3	G(1811,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3065,1796),5	G(1813,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3065,1796),5	G(1813,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3063,1804),3	G(1811,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3063,1804),3	G(1811,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3063,1804),3	G(1811,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3068,1792),8	G(1816,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3068,1792),8	G(1816,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3064,1790),4	G(1812,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3064,1790),4	G(1812,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3064,1793),4	G(1812,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3064,1793),4	G(1812,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3066,1793),6	G(1814,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3066,1793),6	G(1814,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3066,1793),6	G(1814,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3059,1794),-1	G(1807,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3059,1794),-1	G(1807,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3062,1796),2	G(1810,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3062,1796),2	G(1810,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3068,1807),8	G(1816,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3068,1807),8	G(1816,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3063,1801),3	G(1811,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3063,1801),3	G(1811,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3063,1801),3	G(1811,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3060,1803),0	G(1808,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3060,1803),0	G(1808,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3059,1805),-1	G(1807,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3059,1805),-1	G(1807,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3065,1803),5	G(1813,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3065,1803),5	G(1813,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3059,1803),-1	G(1807,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3059,1803),-1	G(1807,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3059,1803),-1	G(1807,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3057,1812),-3	G(1805,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3057,1812),-3	G(1805,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3066,1812),6	G(1814,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3066,1812),6	G(1814,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3073,1810),13	G(1821,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3073,1810),13	G(1821,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3070,1811),10	G(1818,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3070,1811),10	G(1818,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3070,1811),10	G(1818,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3073,1805),13	G(1821,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3073,1805),13	G(1821,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3072,1804),12	G(1820,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3072,1804),12	G(1820,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3075,1803),15	G(1823,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3075,1803),15	G(1823,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3067,1805),7	G(1815,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3067,1805),7	G(1815,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3067,1805),7	G(1815,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3062,1816),2	G(1810,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3062,1816),2	G(1810,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3070,1814),10	G(1818,6340),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3070,1814),10	G(1818,6340),N(1808,6340)	RS(0,0)
シーツ補正Y lidar(3070,1814),374	G(1818,6714),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3063,1812),3	G(1811,6714),N(1808,6340)	RS(0,0)
シーツ補正Y lidar(3063,1812),372	G(1811,6712),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3063,1812),3	G(1811,6712),N(1808,6340)	RS(0,0)
シーツ補正Y lidar(3063,1812),372	G(1811,6712),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3060,1812),0	G(1808,6712),N(1808,6340)	RS(0,0)
シーツ補正Y lidar(3060,1812),372	G(1808,6712),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3060,1812),0	G(1808,6712),N(1808,6340)	RS(0,0)
シーツ補正Y lidar(3060,1812),372	G(1808,6712),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3060,1812),0	G(1808,6712),N(1808,6340)	RS(0,0)
シーツ補正Y lidar(3060,1812),372	G(1808,6712),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3067,1818),7	G(1815,6712),N(1808,6340)	RS(0,0)
シーツ補正Y lidar(3067,1818),378	G(1815,6718),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3067,1818),7	G(1815,6718),N(1808,6340)	RS(0,0)
シーツ補正Y lidar(3067,1818),378	G(1815,6718),N(1808,6340)	RS(0,0)
シーツ補正X lidar(3075,1816),15	G(1823,6718),N(1808,6340)	RS(0,0)
シーツ補正Y lidar(3075,1816),376	G(1823,6716),N(1808,6340)	RS(0,0)
