11月5日20時47分	赤 決勝
シーツ補正前 lidar(3282,2473) RS_Y:0,X:0	now(1619.571045,5714.115234,0.275119)	6
シーツ補正X lidar(3282,2473),222	G(1863,6340),N(1641,5713)	RS(0,0)
シーツ補正X lidar(3213,2473),153	G(1832,6340),N(1679,5711)	RS(0,0)
シーツ補正X lidar(3213,2473),153	G(1848,6340),N(1695,5710)	RS(0,0)
シーツ補正X lidar(3169,2477),109	G(1815,6340),N(1706,5709)	RS(0,0)
シーツ補正X lidar(3169,2477),109	G(1823,6340),N(1714,5709)	RS(0,0)
シーツ補正X 無視lidar(3134,2481),74	G(1730,6340),N(1721,5711)	RS(0,0)
シーツ補正X 無視lidar(3134,2481),74	G(1730,6340),N(1720,5712)	RS(0,0)
シーツ補正X 無視lidar(3134,2481),74	G(1730,6340),N(1719,5713)	RS(0,0)
シーツ補正X 無視lidar(3130,2479),70	G(1730,6340),N(1717,5714)	RS(0,0)
シーツ補正X 無視lidar(3130,2479),70	G(1730,6340),N(1712,5717)	RS(0,0)
シーツ補正X 無視lidar(3141,2479),81	G(1730,6340),N(1709,5719)	RS(0,0)
シーツ補正X 無視lidar(3141,2479),81	G(1730,6340),N(1705,5723)	RS(0,0)
シーツ補正X 無視lidar(3153,2475),93	G(1730,6340),N(1701,5727)	RS(0,0)
シーツ補正X 無視lidar(3153,2475),93	G(1730,6340),N(1690,5736)	RS(0,0)
シーツ補正X 無視lidar(3166,2466),106	G(1730,6340),N(1685,5741)	RS(0,0)
シーツ補正X 無視lidar(3166,2466),106	G(1730,6340),N(1680,5747)	RS(0,0)
シーツ補正X 無視lidar(3166,2466),106	G(1730,6340),N(1677,5753)	RS(0,0)
シーツ補正X lidar(3176,2452),116	G(1789,6340),N(1673,5771)	RS(0,0)
シーツ補正X lidar(3176,2452),116	G(1788,6340),N(1672,5782)	RS(0,0)
シーツ補正X lidar(3183,2441),123	G(1795,6340),N(1672,5793)	RS(0,0)
シーツ補正X lidar(3183,2441),123	G(1797,6340),N(1674,5817)	RS(0,0)
シーツ補正X 無視lidar(3180,2405),120	G(1730,6340),N(1676,5830)	RS(0,0)
シーツ補正X 無視lidar(3180,2405),120	G(1730,6340),N(1679,5845)	RS(0,0)
