11月6日21時21分	青 決勝
11月6日21時21分	青 決勝
シーツ補正前 lidar(1673,2460) RS_Y:0,X:0	now(-1619.064941,5709.610840,-0.136185)	6
シーツ補正X 無視lidar(1734,2475),-2096	G(-3690,6340),N(-1638,5705)	RS(0,0)
シーツ補正X 無視lidar(1734,2475),-2096	G(-3690,6340),N(-1673,5698)	RS(0,0)
シーツ補正X 無視lidar(1734,2475),-2096	G(-3690,6340),N(-1687,5694)	RS(0,0)
シーツ補正X 無視lidar(1789,2475),-2041	G(-3690,6340),N(-1699,5691)	RS(0,0)
シーツ補正X 無視lidar(1789,2475),-2041	G(-3690,6340),N(-1707,5689)	RS(0,0)
シーツ補正X 無視lidar(1810,2493),-2020	G(-3690,6340),N(-1712,5687)	RS(0,0)
シーツ補正X 無視lidar(1810,2493),-2020	G(-3690,6340),N(-1712,5686)	RS(0,0)
シーツ補正X 無視lidar(1817,2504),-2013	G(-3690,6340),N(-1710,5686)	RS(0,0)
シーツ補正X 無視lidar(1817,2504),-2013	G(-3690,6340),N(-1707,5687)	RS(0,0)
シーツ補正X 無視lidar(1820,2507),-2010	G(-3690,6340),N(-1705,5688)	RS(0,0)
シーツ補正X 無視lidar(1820,2507),-2010	G(-3690,6340),N(-1704,5690)	RS(0,0)
シーツ補正X 無視lidar(1820,2507),-2010	G(-3690,6340),N(-1702,5691)	RS(0,0)
シーツ補正X 無視lidar(1819,2496),-2011	G(-3690,6340),N(-1701,5697)	RS(0,0)
シーツ補正X 無視lidar(1819,2496),-2011	G(-3690,6340),N(-1702,5700)	RS(0,0)
シーツ補正X 無視lidar(1821,2499),-2009	G(-3690,6340),N(-1703,5705)	RS(0,0)
シーツ補正X 無視lidar(1821,2499),-2009	G(-3690,6340),N(-1706,5710)	RS(0,0)
シーツ補正X 無視lidar(1825,2483),-2005	G(-3690,6340),N(-1715,5725)	RS(0,0)
シーツ補正X 無視lidar(1825,2483),-2005	G(-3690,6340),N(-1722,5733)	RS(0,0)
シーツ補正X 無視lidar(1851,2462),-1979	G(-3690,6340),N(-1730,5743)	RS(0,0)
シーツ補正X 無視lidar(1851,2462),-1979	G(-3690,6340),N(-1740,5753)	RS(0,0)
シーツ補正X 無視lidar(1851,2462),-1979	G(-3690,6340),N(-1764,5777)	RS(0,0)
シーツ補正X 無視lidar(1871,2425),-1959	G(-3690,6340),N(-1778,5791)	RS(0,0)
シーツ補正X 無視lidar(1871,2425),-1959	G(-3690,6340),N(-1794,5807)	RS(0,0)
