11月6日21時27分	青 決勝
CS通信切れ
シーツ補正前 lidar(1565,2426) RS_Y:0,X:0	now(-1600.576782,5731.244629,-0.053726)	6
シーツ補正X 無視lidar(1636,2426),-2194	G(-3690,6340),N(-1641,5720)	RS(0,0)
シーツ補正X 無視lidar(1636,2426),-2194	G(-3690,6340),N(-1659,5715)	RS(0,0)
シーツ補正X 無視lidar(1691,2442),-2139	G(-3690,6340),N(-1675,5710)	RS(0,0)
シーツ補正X 無視lidar(1691,2442),-2139	G(-3690,6340),N(-1688,5705)	RS(0,0)
シーツ補正X 無視lidar(1730,2471),-2100	G(-3690,6340),N(-1699,5696)	RS(0,0)
シーツ補正X 無視lidar(1730,2471),-2100	G(-3690,6340),N(-1699,5693)	RS(0,0)
シーツ補正X 無視lidar(1730,2471),-2100	G(-3690,6340),N(-1696,5690)	RS(0,0)
シーツ補正X 無視lidar(1738,2487),-2092	G(-3690,6340),N(-1692,5687)	RS(0,0)
シーツ補正X 無視lidar(1738,2487),-2092	G(-3690,6340),N(-1683,5681)	RS(0,0)
シーツ補正X 無視lidar(1727,2492),-2103	G(-3690,6340),N(-1679,5679)	RS(0,0)
シーツ補正X 無視lidar(1727,2492),-2103	G(-3690,6340),N(-1675,5678)	RS(0,0)
シーツ補正X 無視lidar(1711,2499),-2119	G(-3690,6340),N(-1672,5678)	RS(0,0)
シーツ補正X 無視lidar(1711,2499),-2119	G(-3690,6340),N(-1668,5679)	RS(0,0)
シーツ補正X 無視lidar(1705,2505),-2125	G(-3690,6340),N(-1668,5681)	RS(0,0)
シーツ補正X 無視lidar(1705,2505),-2125	G(-3690,6340),N(-1669,5683)	RS(0,0)
シーツ補正X 無視lidar(1705,2505),-2125	G(-3690,6340),N(-1672,5691)	RS(0,0)
シーツ補正X 無視lidar(1704,2499),-2126	G(-3690,6340),N(-1676,5697)	RS(0,0)
シーツ補正X 無視lidar(1704,2499),-2126	G(-3690,6340),N(-1680,5704)	RS(0,0)
シーツ補正X 無視lidar(1716,2483),-2114	G(-3690,6340),N(-1685,5712)	RS(0,0)
シーツ補正X 無視lidar(1716,2483),-2114	G(-3690,6340),N(-1700,5730)	RS(0,0)
シーツ補正X 無視lidar(1734,2456),-2096	G(-3690,6340),N(-1710,5741)	RS(0,0)
シーツ補正X 無視lidar(1734,2456),-2096	G(-3690,6340),N(-1722,5753)	RS(0,0)
シーツ補正X 無視lidar(1757,2456),-2073	G(-3690,6340),N(-1736,5767)	RS(0,0)
シーツ補正X 無視lidar(1757,2456),-2073	G(-3690,6340),N(-1768,5797)	RS(0,0)
シーツ補正X 無視lidar(1757,2456),-2073	G(-3690,6340),N(-1787,5814)	RS(0,0)
シーツ補正X 無視lidar(1815,2426),-2015	G(-3690,6340),N(-1808,5833)	RS(0,0)
シーツ補正X 無視lidar(1815,2426),-2015	G(-3690,6340),N(-1829,5852)	RS(0,0)
シーツ補正X 無視lidar(1880,2366),-1950	G(-3690,6340),N(-1874,5894)	RS(0,0)
シーツ補正X 無視lidar(1880,2366),-1950	G(-3690,6340),N(-1897,5916)	RS(0,0)
シーツ補正X 無視lidar(1945,2300),-1885	G(-3690,6340),N(-1922,5940)	RS(0,0)
シーツ補正X 無視lidar(1945,2300),-1885	G(-3690,6340),N(-1974,5990)	RS(0,0)
シーツ補正X 無視lidar(2020,2229),-1810	G(-3690,6340),N(-2000,6016)	RS(0,0)
シーツ補正X 無視lidar(2020,2229),-1810	G(-3690,6340),N(-2028,6043)	RS(0,0)
シーツ補正X 無視lidar(2020,2229),-1810	G(-3690,6340),N(-2056,6071)	RS(0,0)
シーツ補正X 無視lidar(2094,2142),-1736	G(-3690,6340),N(-2115,6125)	RS(0,0)
シーツ補正X 無視lidar(2094,2142),-1736	G(-3690,6340),N(-2145,6151)	RS(0,0)
シーツ補正X 無視lidar(2182,2047),-1648	G(-3690,6340),N(-2176,6177)	RS(0,0)
シーツ補正X 無視lidar(2182,2047),-1648	G(-3690,6340),N(-2207,6201)	RS(0,0)
シーツ補正X 無視lidar(2271,1962),-1559	G(-3690,6340),N(-2272,6248)	RS(0,0)
シーツ補正X 無視lidar(2271,1962),-1559	G(-3690,6340),N(-2306,6268)	RS(0,0)
シーツ補正X 無視lidar(2373,1907),-1457	G(-3690,6340),N(-2339,6286)	RS(0,0)
シーツ補正X 無視lidar(2373,1907),-1457	G(-3690,6340),N(-2374,6304)	RS(0,0)
シーツ補正X 無視lidar(2373,1907),-1457	G(-3690,6340),N(-2444,6332)	RS(0,0)
シーツ補正X 無視lidar(2469,1848),-1361	G(-3690,6340),N(-2479,6344)	RS(0,0)
シーツ補正X 無視lidar(2469,1848),-1361	G(-3690,6340),N(-2514,6355)	RS(0,0)
シーツ補正X 無視lidar(2563,1848),-1267	G(-3690,6340),N(-2587,6372)	RS(0,0)
シーツ補正X 無視lidar(2563,1848),-1267	G(-3690,6340),N(-2624,6379)	RS(0,0)
シーツ補正X 無視lidar(2655,1812),-1175	G(-3690,6340),N(-2660,6383)	RS(0,0)
シーツ補正X 無視lidar(2655,1812),-1175	G(-3690,6340),N(-2696,6385)	RS(0,0)
シーツ補正X 無視lidar(2765,1786),-1065	G(-3690,6340),N(-2769,6387)	RS(0,0)
シーツ補正X 無視lidar(2765,1786),-1065	G(-3690,6340),N(-2805,6386)	RS(0,0)
シーツ補正X 無視lidar(2765,1786),-1065	G(-3690,6340),N(-2841,6386)	RS(0,0)
シーツ補正X 無視lidar(2855,1777),-975	G(-3690,6340),N(-2876,6385)	RS(0,0)
シーツ補正X 無視lidar(2855,1777),-975	G(-3690,6340),N(-2948,6380)	RS(0,0)
シーツ補正X 無視lidar(2951,1789),-879	G(-3690,6340),N(-2983,6377)	RS(0,0)
シーツ補正X 無視lidar(2951,1789),-879	G(-3690,6340),N(-3018,6374)	RS(0,0)
シーツ補正X 無視lidar(3050,1797),-780	G(-3690,6340),N(-3052,6370)	RS(0,0)
シーツ補正X 無視lidar(3050,1797),-780	G(-3690,6340),N(-3120,6363)	RS(0,0)
シーツ補正X 無視lidar(3148,1810),-682	G(-3690,6340),N(-3152,6359)	RS(0,0)
シーツ補正X 無視lidar(3148,1810),-682	G(-3690,6340),N(-3184,6356)	RS(0,0)
シーツ補正X 無視lidar(3148,1810),-682	G(-3690,6340),N(-3216,6352)	RS(0,0)
